species,year_first_described,first_paper_reference,first_paper_title,abstract,title_abstract,foreign,hosts,infection_site,spore_length_range,spore_width_range,spore_length_avg,spore_width_avg,spore_shape,locality,nucleus,pt_max,pt_min,pt_avg,pt_coils_range,pt_coils_avg,all_references,num_papers
Loggerhead turtle microsporidium,2018,"Martinson SA, Greenwood SJ, Wadowska D, Martin K. Histopathological, ultrastructural and molecular phylogenetic analysis of a novel microsporidium in a loggerhead sea turtle Caretta caretta. Dis Aquat Org. 2018;129:31–9.","Histopathological, ultrastructural and molecular phylogenetic analysis of a novel microsporidium in a loggerhead sea turtle Caretta caretta","Microsporidial spores were identified in the musculature of a loggerhead sea turtle Caretta caretta found dead on the shore in New Brunswick, Canada. Gastroenteritis was diagnosed on gross postmortem examination, with no gross abnormalities detected in the skeletal muscle. Histologically, the microsporidial spores were associated with inflammation and muscular necrosis and measured 1.1-1.7 × 2.2-3.4 µm. Spores were typically identified within sporophorous vesicles and, less often, in sporophorocysts and were weakly Gram positive, had punctate PAS staining, and were occasionally strongly acid-fast. Ultrastructural characteristics included 7-10 polar filament coils and other standard features of microsporidial spores. PCR for the microsporidial small subunit rRNA gene sequence was performed on DNA extracted from the muscle and small intestine, and the resulting amplicon was sequenced and queried against published microsporidial genomes. DNA sequences shared 98.2-99.8% sequence identity to Clade III of the Marinosporidia. This is the first report of a microsporidial infection contributing to the mortality of a sea turtle.","Histopathological, ultrastructural and molecular phylogenetic analysis of a novel microsporidium in a loggerhead sea turtle Caretta caretta. Microsporidial spores were identified in the musculature of a loggerhead sea turtle Caretta caretta found dead on the shore in New Brunswick, Canada. Gastroenteritis was diagnosed on gross postmortem examination, with no gross abnormalities detected in the skeletal muscle. Histologically, the microsporidial spores were associated with inflammation and muscular necrosis and measured 1.1-1.7 × 2.2-3.4 µm. Spores were typically identified within sporophorous vesicles and, less often, in sporophorocysts and were weakly Gram positive, had punctate PAS staining, and were occasionally strongly acid-fast. Ultrastructural characteristics included 7-10 polar filament coils and other standard features of microsporidial spores. PCR for the microsporidial small subunit rRNA gene sequence was performed on DNA extracted from the muscle and small intestine, and the resulting amplicon was sequenced and queried against published microsporidial genomes. DNA sequences shared 98.2-99.8% sequence identity to Clade III of the Marinosporidia. This is the first report of a microsporidial infection contributing to the mortality of a sea turtle.",FALSE,Caretta caretta,skeletal muscle,2.2−3.4 (fixed),1.1−1.7 (fixed),2.8 (fixed),1.4,NA,(New Brunswick) Canada,1,NA,NA,NA,7-10,8.5,"Martinson SA, Greenwood SJ, Wadowska D, Martin K. Histopathological, ultrastructural and molecular phylogenetic analysis of a novel microsporidium in a loggerhead sea turtle Caretta caretta. Dis Aquat Org. 2018;129:31–9.",1
Loma boopsi,1995,"Faye N, Toguebaye BS, Bouix G. On the Cytology and Development of Loma boopsi n. sp. (Microspora, Glugeidae), Parasite of Boops boops (Pisces, Teleostei, Sparidae) from the Coasts of Senegal. Arch Protistenkd. 1995;146:85–93.","On the Cytology and Development of Loma boopsi n. sp. (Microspora, Glugeidae), Parasite of Boops boops (Pisces, Teleostei, Sparidae) from the Coasts of Senegal","Loma boopsi n. sp. was found in the liver, intestine and pyloric caeca of Boops boops inhabiting the coasts of Senegal. Its ultrastructural characteristics were elucidated. All developmental stages had isolated nuclei and occupied the xenoma without any particular stratification. The merogonial stages were in direct contact with the host-cell cytoplasm. The merogonial plasmodium divided by plasmotomy. Sporogony occurred in sporophorous vesicles and the sporogonial plasmodium divided by plasmotomy. Two morphological types of spores were produced in the same sporophorous vesicle: ovoid spores measuring 3.70 × 2.40 µm and elongate, slightly incurvated spores which were 4.80 × 2.40 µm. They had a thick envelope (about 70 nm), a polaroplast with an anterior lamellar part and a posterior vesicular part, an isofilar polar filament displaying 12–14 (ovoid spores) or 16–18 (elongate spores) spiral turns in a single row of coils and a large posterior vacuole","On the Cytology and Development of Loma boopsi n. sp. (Microspora, Glugeidae), Parasite of Boops boops (Pisces, Teleostei, Sparidae) from the Coasts of Senegal. Loma boopsi n. sp. was found in the liver, intestine and pyloric caeca of Boops boops inhabiting the coasts of Senegal. Its ultrastructural characteristics were elucidated. All developmental stages had isolated nuclei and occupied the xenoma without any particular stratification. The merogonial stages were in direct contact with the host-cell cytoplasm. The merogonial plasmodium divided by plasmotomy. Sporogony occurred in sporophorous vesicles and the sporogonial plasmodium divided by plasmotomy. Two morphological types of spores were produced in the same sporophorous vesicle: ovoid spores measuring 3.70 × 2.40 µm and elongate, slightly incurvated spores which were 4.80 × 2.40 µm. They had a thick envelope (about 70 nm), a polaroplast with an anterior lamellar part and a posterior vesicular part, an isofilar polar filament displaying 12–14 (ovoid spores) or 16–18 (elongate spores) spiral turns in a single row of coils and a large posterior vacuole",FALSE,Boops boops,liver; intestinal epithelium; pyloric caeca,"2.7 - 4 (ovoid spores, fixed and stained); 4.3 - 6.4 (elongate and slightly incurvated spores, fixed and stained)","2 - 2.7 (all spore types, fixed and stained)","3.7 (ovoid spores, fixed and stained); 4.8 (elongate and slightly incurvated spores, fixed and stained)","2.4 (all spore types, fixed and stained)",ovoid; elongate; slightly incurvated,Senegal,NA,NA,NA,NA,12 - 14 (ovoid spores); 16 - 18 (elongate and slightly incurvated spores),13 (ovoid spores); 17 (elongate and slightly incurvated spores),"Faye N, Toguebaye BS, Bouix G. On the Cytology and Development of Loma boopsi n. sp. (Microspora, Glugeidae), Parasite of Boops boops (Pisces, Teleostei, Sparidae) from the Coasts of Senegal. Arch Protistenkd. 1995;146:85–93.",1
Loma camerounensis,1992,"Fomena A, Coste F, Bouix G. Loma camerounensis sp. nov. (Protozoa: Microsporida) a parasite ofOreochromis niloticus Linnaeus, 1757 (Teleost: Cichlidae) in fish-rearing ponds in Melen, Yaounde, Cameroon. Parasitol Res. 1992;78:201–8.","Loma camerounensis sp. nov. (Protozoa: Microsporida) a parasite ofOreochromis niloticus Linnaeus, 1757 (Teleost: Cichlidae) in fish-rearing ponds in Melen, Yaounde, Cameroon","A new microsporidian, Loma camerounensis, was found in the Cichlidae Oreochromis niloticus from the Melen fish-rearing station in Yaoundé, Cameroon. Xenomas were located in the gut from the oesophagus to the intestine, but preferentially in the duodenum. Dimensions of the fresh spores were 3.96×2.16 μm. The ultrastructural study indicated the following characteristics: parasite stages arranged in a random, unstratified manner in the xenoma; merogony by multiple fission; sporogonic stages isolated within a sporophorous vesicle containing several sporoblasts and polysporoblastic sporogony. Ultimately the spores appeared to be isolated in a single vesicle, but this was a secondary phenomenon induced by the intervention of tubules that resolved in partitions of the initial sporophorous vesicle.","Loma camerounensis sp. nov. (Protozoa: Microsporida) a parasite ofOreochromis niloticus Linnaeus, 1757 (Teleost: Cichlidae) in fish-rearing ponds in Melen, Yaounde, Cameroon. A new microsporidian, Loma camerounensis, was found in the Cichlidae Oreochromis niloticus from the Melen fish-rearing station in Yaoundé, Cameroon. Xenomas were located in the gut from the oesophagus to the intestine, but preferentially in the duodenum. Dimensions of the fresh spores were 3.96×2.16 μm. The ultrastructural study indicated the following characteristics: parasite stages arranged in a random, unstratified manner in the xenoma; merogony by multiple fission; sporogonic stages isolated within a sporophorous vesicle containing several sporoblasts and polysporoblastic sporogony. Ultimately the spores appeared to be isolated in a single vesicle, but this was a secondary phenomenon induced by the intervention of tubules that resolved in partitions of the initial sporophorous vesicle.",FALSE,Oreochromis niloticus,oesophagus; intestine (mainly in duodenum); sub-epithelial gut connective tissue,NA,NA,3.96 ± 0.07 (fresh),2.16 ± 0.04 (fresh),oval,Cameroon (Yaounde),1,NA,NA,NA,11 - 12,11.5,"Fomena A, Coste F, Bouix G. Loma camerounensis sp. nov. (Protozoa: Microsporida) a parasite ofOreochromis niloticus Linnaeus, 1757 (Teleost: Cichlidae) in fish-rearing ponds in Melen, Yaounde, Cameroon. Parasitol Res. 1992;78:201–8.",1
Loma diplodae,1985,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296.",A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata),"Loma embiotocia n. sp. is described from the gills of shiner perch (Cymatogaster aggregata) from waters off Vancouver Island, British Columbia, Canada. Highest prevalence at a site was 15% and greatest intensity was 583 xenomas per fish. Xenomas averaged 0.13 mm in diameter (0.06-0.16 mm) and contained ovoid spores 4.8 x 2.6 (4.0-5.0 x 2.0-3.0) µm. Sporogonic stages were dispersed throughout the xenomas. The xenoma wall was smooth lacking invaginations into the cytoplasm; sporoblasts were not highly vacuolated, and the sporophorous vesicle formed before sporogony. In addition to differences in host and geographic location the new species is distinguished from Loma salmonae, the only other species in the genus known from British Columbia, by its internal transcribed spacer (ITS) ribosomal DNA sequence.","A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). Loma embiotocia n. sp. is described from the gills of shiner perch (Cymatogaster aggregata) from waters off Vancouver Island, British Columbia, Canada. Highest prevalence at a site was 15% and greatest intensity was 583 xenomas per fish. Xenomas averaged 0.13 mm in diameter (0.06-0.16 mm) and contained ovoid spores 4.8 x 2.6 (4.0-5.0 x 2.0-3.0) µm. Sporogonic stages were dispersed throughout the xenomas. The xenoma wall was smooth lacking invaginations into the cytoplasm; sporoblasts were not highly vacuolated, and the sporophorous vesicle formed before sporogony. In addition to differences in host and geographic location the new species is distinguished from Loma salmonae, the only other species in the genus known from British Columbia, by its internal transcribed spacer (ITS) ribosomal DNA sequence.",FALSE,Diplodus sargus,NA,NA,NA,4.2 (resin-embedded),2.2 (resin-embedded),NA,France,NA,NA,NA,NA,17 - 18,17.5,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296.",1
Loma embiotocia,1997,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296.",A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata),"Loma embiotocia n. sp. is described from the gills of shiner perch (Cymatogaster aggregata) from waters off Vancouver Island, British Columbia, Canada. Highest prevalence at a site was 15% and greatest intensity was 583 xenomas per fish. Xenomas averaged 0.13 mm in diameter (0.06-0.16 mm) and contained ovoid spores 4.8 x 2.6 (4.0-5.0 x 2.0-3.0) µm. Sporogonic stages were dispersed throughout the xenomas. The xenoma wall was smooth lacking invaginations into the cytoplasm; sporoblasts were not highly vacuolated, and the sporophorous vesicle formed before sporogony. In addition to differences in host and geographic location the new species is distinguished from Loma salmonae, the only other species in the genus known from British Columbia, by its internal transcribed spacer (ITS) ribosomal DNA sequence.","A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). Loma embiotocia n. sp. is described from the gills of shiner perch (Cymatogaster aggregata) from waters off Vancouver Island, British Columbia, Canada. Highest prevalence at a site was 15% and greatest intensity was 583 xenomas per fish. Xenomas averaged 0.13 mm in diameter (0.06-0.16 mm) and contained ovoid spores 4.8 x 2.6 (4.0-5.0 x 2.0-3.0) µm. Sporogonic stages were dispersed throughout the xenomas. The xenoma wall was smooth lacking invaginations into the cytoplasm; sporoblasts were not highly vacuolated, and the sporophorous vesicle formed before sporogony. In addition to differences in host and geographic location the new species is distinguished from Loma salmonae, the only other species in the genus known from British Columbia, by its internal transcribed spacer (ITS) ribosomal DNA sequence.",FALSE,Cymatogaster aggregata,secondary lamellae of gills,4 - 5 (fixed),2 - 3 (fixed),4.8 (fixed),2.6 (fixed),ovoid,"Canada ( Eagle Bay, Clayoquot Sound, Vancouver Island, British Colombia)",NA,NA,NA,NA,14 - 18,16,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296.",1
Loma fontinalis,1983,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296.",A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata),"Loma embiotocia n. sp. is described from the gills of shiner perch (Cymatogaster aggregata) from waters off Vancouver Island, British Columbia, Canada. Highest prevalence at a site was 15% and greatest intensity was 583 xenomas per fish. Xenomas averaged 0.13 mm in diameter (0.06-0.16 mm) and contained ovoid spores 4.8 x 2.6 (4.0-5.0 x 2.0-3.0) µm. Sporogonic stages were dispersed throughout the xenomas. The xenoma wall was smooth lacking invaginations into the cytoplasm; sporoblasts were not highly vacuolated, and the sporophorous vesicle formed before sporogony. In addition to differences in host and geographic location the new species is distinguished from Loma salmonae, the only other species in the genus known from British Columbia, by its internal transcribed spacer (ITS) ribosomal DNA sequence.","A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). Loma embiotocia n. sp. is described from the gills of shiner perch (Cymatogaster aggregata) from waters off Vancouver Island, British Columbia, Canada. Highest prevalence at a site was 15% and greatest intensity was 583 xenomas per fish. Xenomas averaged 0.13 mm in diameter (0.06-0.16 mm) and contained ovoid spores 4.8 x 2.6 (4.0-5.0 x 2.0-3.0) µm. Sporogonic stages were dispersed throughout the xenomas. The xenoma wall was smooth lacking invaginations into the cytoplasm; sporoblasts were not highly vacuolated, and the sporophorous vesicle formed before sporogony. In addition to differences in host and geographic location the new species is distinguished from Loma salmonae, the only other species in the genus known from British Columbia, by its internal transcribed spacer (ITS) ribosomal DNA sequence.",FALSE,Savelinus fontinalis,NA,NA,NA,3.7 (resin-embedded),2.2 (resin-embedded),NA,Canada (Nova Scotia),NA,NA,NA,NA,14 - 15,14.5,"Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296.",1
Loma kenti,2010,"Brown AMV, Kent ML, Adamson ML. Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. Journal of Eukaryotic Microbiology. 2010;57:529–53.","Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests","ABSTRACT. Five new species of Loma were described from five Pacific fishes using light-microscopic and ultrastructural features along with phylogenetic analysis of the gene sequences of ribosomal RNA (rRNA) and elongation factor 1-alpha. Morphological data revealed both qualitative and quantitative differences in developmental stages and timing, vesicles, xenoma features, and spore sizes with statistical support that differentiated Loma pacificodae n. sp. in Pacific cod, Loma wallae n. sp. in walleye pollock, Loma kenti n. sp. in Pacific tomcod, Loma lingcodae n. sp. in lingcod, and Loma richardi n. sp. in sablefish from each other and other species in the genus. Phylogenetic analyses combined with monophyly tests supported species designations, but with low resolution in two cases perhaps due to rRNA paralogs or recent speciation. Loma branchialis in haddock was shown to be separate from Loma morhua in Atlantic cod, thereby making L. morhua, and not L. branchialis, the type species. A species from brook trout was shown to be a separate species from Loma salmonae, not a variant strain selected in the laboratory. By comparison with gadid host phylogeny, these Loma species appear to have coevolved with their hosts, first colonizing the Pacific basin about 12 million years ago.","Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. ABSTRACT. Five new species of Loma were described from five Pacific fishes using light-microscopic and ultrastructural features along with phylogenetic analysis of the gene sequences of ribosomal RNA (rRNA) and elongation factor 1-alpha. Morphological data revealed both qualitative and quantitative differences in developmental stages and timing, vesicles, xenoma features, and spore sizes with statistical support that differentiated Loma pacificodae n. sp. in Pacific cod, Loma wallae n. sp. in walleye pollock, Loma kenti n. sp. in Pacific tomcod, Loma lingcodae n. sp. in lingcod, and Loma richardi n. sp. in sablefish from each other and other species in the genus. Phylogenetic analyses combined with monophyly tests supported species designations, but with low resolution in two cases perhaps due to rRNA paralogs or recent speciation. Loma branchialis in haddock was shown to be separate from Loma morhua in Atlantic cod, thereby making L. morhua, and not L. branchialis, the type species. A species from brook trout was shown to be a separate species from Loma salmonae, not a variant strain selected in the laboratory. By comparison with gadid host phylogeny, these Loma species appear to have coevolved with their hosts, first colonizing the Pacific basin about 12 million years ago.",FALSE,Microgadus proximus,Primarily gills; secondarily in gonads; spleen; heart; gallbladder; liver; kidney,2.97 ± 0.13 um (formalin-fixed paraffinembedded); 2.94 ± 0.11 um (Spurr’s resin-embedded),1.75 ± 0.27 um (formalin-fixed paraffinembedded); 1.52 ± 0.05 um (Spurr’s resin-embedded),2.97 ± 0.13 um (formalin-fixed paraffinembedded); 2.94 ± 0.11 um (Spurr’s resin-embedded),1.75 ± 0.27 um (formalin-fixed paraffinembedded); 1.52 ± 0.05 um (Spurr’s resin-embedded),Ovoid,(Vancouver Island) Canada,NA,NA,NA,NA,14.8 ± 0.4 (range 14–16),14.8,"Brown AMV, Kent ML, Adamson ML. Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. Journal of Eukaryotic Microbiology. 2010;57:529–53.",1
Loma lingcodae,2010,"Brown AMV, Kent ML, Adamson ML. Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. Journal of Eukaryotic Microbiology. 2010;57:529–53.","Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests","ABSTRACT. Five new species of Loma were described from five Pacific fishes using light-microscopic and ultrastructural features along with phylogenetic analysis of the gene sequences of ribosomal RNA (rRNA) and elongation factor 1-alpha. Morphological data revealed both qualitative and quantitative differences in developmental stages and timing, vesicles, xenoma features, and spore sizes with statistical support that differentiated Loma pacificodae n. sp. in Pacific cod, Loma wallae n. sp. in walleye pollock, Loma kenti n. sp. in Pacific tomcod, Loma lingcodae n. sp. in lingcod, and Loma richardi n. sp. in sablefish from each other and other species in the genus. Phylogenetic analyses combined with monophyly tests supported species designations, but with low resolution in two cases perhaps due to rRNA paralogs or recent speciation. Loma branchialis in haddock was shown to be separate from Loma morhua in Atlantic cod, thereby making L. morhua, and not L. branchialis, the type species. A species from brook trout was shown to be a separate species from Loma salmonae, not a variant strain selected in the laboratory. By comparison with gadid host phylogeny, these Loma species appear to have coevolved with their hosts, first colonizing the Pacific basin about 12 million years ago.","Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. ABSTRACT. Five new species of Loma were described from five Pacific fishes using light-microscopic and ultrastructural features along with phylogenetic analysis of the gene sequences of ribosomal RNA (rRNA) and elongation factor 1-alpha. Morphological data revealed both qualitative and quantitative differences in developmental stages and timing, vesicles, xenoma features, and spore sizes with statistical support that differentiated Loma pacificodae n. sp. in Pacific cod, Loma wallae n. sp. in walleye pollock, Loma kenti n. sp. in Pacific tomcod, Loma lingcodae n. sp. in lingcod, and Loma richardi n. sp. in sablefish from each other and other species in the genus. Phylogenetic analyses combined with monophyly tests supported species designations, but with low resolution in two cases perhaps due to rRNA paralogs or recent speciation. Loma branchialis in haddock was shown to be separate from Loma morhua in Atlantic cod, thereby making L. morhua, and not L. branchialis, the type species. A species from brook trout was shown to be a separate species from Loma salmonae, not a variant strain selected in the laboratory. By comparison with gadid host phylogeny, these Loma species appear to have coevolved with their hosts, first colonizing the Pacific basin about 12 million years ago.",FALSE,Ophiodon elongatus,Primarily gills; secondarily in spleen; heart; liver; gallbladder; kidney; and especially gonads.,3.8-5.4 um (fresh); 4.0-5.0 um (frozen); 2.91 ± 0.07 um (formalin-fixed paraffinembedded); 3.00 ± 0.12 um (Spurr’s resin-embedded),2.5-3.0 um (fresh),4.6 (fresh),2.75,Ovoid,(Vancouver Island) Canada,NA,NA,NA,NA,15 ± 0.7 (range 14–16),15,"Brown AMV, Kent ML, Adamson ML. Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. Journal of Eukaryotic Microbiology. 2010;57:529–53.",1
Loma morhua (1),1981,"Morrison, Carol M., and V. Sprague. “Electron Microscopical Study of a New Genus and New Species of Microsporida in the Gills of Atlantic Cod Gadus Morhua L.*.” Journal of Fish Diseases 4, no. 1 (January 1981): 15–32. https://doi.org/10.1111/j.1365-2761.1981.tb01106.x",Electron Microscopical Study of a New Genus and New Species of Microsporida in the Gills of Atlantic Cod Gadus Morhua L.*,"A microsporidium, forming xenoparasitie complexes (xencmas) of the cell-hypertrophy tumour type, was found in the gills of the Atlantic cod Gadus morhua L. and studied with the electron microscope. It seemed to be similar to Nosema branehiale Nemeezek, 1911, in the haddock Melanogrammus aeglefinus (L.) except in size of spore. The xenoma (cyst) was basically like the Glugea eyst and the parasite had some other characters in common with Glugea; it was apansporoblastie, unikaryotic, disporoblastie and underwent partial development in parasitophorous vacuoles. It differed from Glugea in lacking plasmodial stages, producing usually 1 or 2 spores (rather than 16) in a vacuole, showing no distinct tendency for different stages to occur in different zones of the cyst and having tubules in the parasitophorous vacuoles. The name Loma morhua n. g., n. sp. (type) was proposed and the genus assigned to the family Glugeidae Thelohan. 1892. The parasite of haddock gill was transferred to the new genus, becoming L. branchiaUs (Nemeezek, 1911) n. comb.","Electron Microscopical Study of a New Genus and New Species of Microsporida in the Gills of Atlantic Cod Gadus Morhua L.*. A microsporidium, forming xenoparasitie complexes (xencmas) of the cell-hypertrophy tumour type, was found in the gills of the Atlantic cod Gadus morhua L. and studied with the electron microscope. It seemed to be similar to Nosema branehiale Nemeezek, 1911, in the haddock Melanogrammus aeglefinus (L.) except in size of spore. The xenoma (cyst) was basically like the Glugea eyst and the parasite had some other characters in common with Glugea; it was apansporoblastie, unikaryotic, disporoblastie and underwent partial development in parasitophorous vacuoles. It differed from Glugea in lacking plasmodial stages, producing usually 1 or 2 spores (rather than 16) in a vacuole, showing no distinct tendency for different stages to occur in different zones of the cyst and having tubules in the parasitophorous vacuoles. The name Loma morhua n. g., n. sp. (type) was proposed and the genus assigned to the family Glugeidae Thelohan. 1892. The parasite of haddock gill was transferred to the new genus, becoming L. branchiaUs (Nemeezek, 1911) n. comb.",FALSE,Gadus morhua; Melanogrammus aeglefinus,NA,NA,NA,4.2 (stained); 4.3 (resin-embedded),2 (stained); 2.1 (resin-embedded),elongate-ovoid,Canada (Nova Scotia),1,NA,NA,NA,16 - 18,17,"1. Morrison, Carol M., and V. Sprague. “Electron Microscopical Study of a New Genus and New Species of Microsporida in the Gills of Atlantic Cod Gadus Morhua L.*.” Journal of Fish Diseases 4, no. 1 (January 1981): 15–32. https://doi.org/10.1111/j.1365-2761.1981.tb01106.x",2
Loma morhua (2),1981,"Morrison, Carol M., and V. Sprague. “Electron Microscopical Study of a New Genus and New Species of Microsporida in the Gills of Atlantic Cod Gadus Morhua L.*.” Journal of Fish Diseases 4, no. 1 (January 1981): 15–32. https://doi.org/10.1111/j.1365-2761.1981.tb01106.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2. Shaw RW, Kent ML, Docker MF, Brown AMV, Devlin RH, Adamson ML. A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). J Parasitol. 1997;83:296.",2
Loma mugili,2000,"Ovcharenko NO, Sarabeev VL, Wita I, Czaplinska U. Loma mugili sp. n., a new microsporidium from the gills of grey mullet (Mugil soiuy). Vestnik Zoologii. 2000;34:9–15.","Loma mugili sp. n., a new microsporidium from the gills of grey mullet (Mugil soiuy)","The new species of the microsporidia from the gills of Mugil sojuy (Osteichthyes, Mugilidae) based of light and ultrastructural data is described in the liman Molochny of the Azov Sea. Elongate ovoid spores measuring (3.48+-0.41)X(2.18+-0.28) mkm. Thin endospore, bipartite lamellate-vesiculate polaroplast and large posterior vacuole with spongious posterosome are characteristic features of the species. Polar filament isofilar, 14-15 coiled.","Loma mugili sp. n., a new microsporidium from the gills of grey mullet (Mugil soiuy). The new species of the microsporidia from the gills of Mugil sojuy (Osteichthyes, Mugilidae) based of light and ultrastructural data is described in the liman Molochny of the Azov Sea. Elongate ovoid spores measuring (3.48+-0.41)X(2.18+-0.28) mkm. Thin endospore, bipartite lamellate-vesiculate polaroplast and large posterior vacuole with spongious posterosome are characteristic features of the species. Polar filament isofilar, 14-15 coiled.",TRUE,Planiliza haematocheila (Mugil soiuy),gills,3.48 ± 0.41 um,2.18 ± 0.28 um,3.48 ± 0.41 um,2.18 ± 0.28 um,elongated oval,Russia; Ukraine,NA,NA,NA,NA,14-15,14.5,"1. Ovcharenko NO, Sarabeev VL, Wita I, Czaplinska U. Loma mugili sp. n., a new microsporidium from the gills of grey mullet (Mugil soiuy). Vestnik Zoologii. 2000;34:9–15.",1
