column,microsporidia_species,original_value,manually_corrected_value,reason_for_correction
Hosts,Ovipleistophora diplostomuri,Lepomis macrochirus; infected with Posthodiplostomum minimum; Procambarus bivittatus,Lepomis macrochirus; Posthodiplostomum minimum,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Pancytospora epiphaga,Caenorhabditis brenneri,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Pancytospora philotis,Oscheius tipula,Oscheius tipula,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Paraepiseptum plectronemiae (Paraepiseptum plectrocnemiae),Plectronemia conspersa,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Paramicrosporidium saccamoebae,Saccamoeba sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Paramicrosporidium vannellae,Vannella sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Paranosema grylli (= Nosema grylli),Gryllus bimaculatus,Gryllus bimaculatus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Parathelohania costatus,Aedes punctor; Aedes diantaeus; Aedes excrucians,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Parathelohania divulgata,Anopheles messeae,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Parathelohania formosa,Anopheles messeae,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Parathelohania sibirika,Anopheles messeae,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Parathelohania teguldeti,Anopheles beklemishevi,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Parathelohania tomski,Anopheles messeae,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Pleistophora (?) sp.,Sparus aurata,Sparus aurata,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Pleistophora beebei,Brachyhypopomus beebei,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Pleistophora duodecimae,Coryphaenoides nasutus,Coryphaenoides nasulus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Pleistophora oribatei,Phtiracarus piger; Rhysotritia duplicata; Microtritia minima; Damaeus clavipes; Carabodes fernoralis; Phtiracarus sp.,Rhysotritia duplicata; Microtritia minima; Damaeus clavipes,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Pleistophora priacanthicola,Priacantus tayenus,Priacantus tayenus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Pleistophora ronneafiei,Homo sapiens,human,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Pleistophora sp. 9,Heterophyes heterophyes,Heterophyes heterophyes,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Pleistophora xyloteri,Xyloterus domesticus,Xyloterus domesticus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Telomyxa orae,Ora texana,Ora texana,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Tetramicra brevifilum,Lophius budegassa; Scophthalmus maximus; Scophthalmidae; Salmo salar,Lophius budegassa; Scophthalmus maximus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Thelohania assovi,Odagmia sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Thelohania bomboschi,Tomocerus flavescens,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Thelohania collernbolae,Tomocerus flavescens,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Thelohania limbata,Tramea limbata,Tramea limbata,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Thelohaniida sp. 1,Gigantodax chilense; G. rufidulum,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Thelohaniida sp. 2,Cnesia dissimilis,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Thelohaniidae sp. 1,unidentified notata,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Thelohaniidae sp. 2,unidentified notata,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Toxoglugea tillargi,Tholymis tillarga,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Toxospora volgae,Sogupopeiga sp.,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Trachipleistophora anthropophthera,Homo sapiens,human,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Trachipleistophora extenrec,Hemicentetes semispinosus; Mus musculus,Hemicentetes semispinosus; mice,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Trachipleistophora hominis,Homo sapiens,patient with AIDS,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Trachipleistophora sp.,Homo sapiens,AIDS patients,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Tubulinosema ratisbonesis (Tubulinosema ratisbonensis),Drosophila melanogaster,Drosophila melanogaster,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Tuzetia weidneri,Litopenaeus setiferus; Farfantepenaeus azectus,Litopenaeus setiferus; Farfantepenaeus aztecus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unikaryon phyllotretae,Phyllotreta undulata,Phyllotreta undulata,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unikaryon slaptonleyi,Echinoparyphium recurratum,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Canningia sp.,Otiorynchus sulcatus,Otiorynchus sulcatus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Enterocytozoon sp.,Pleuronectes vetulus,Pleuronectes vetulus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Enterospora sp.,Eupagurus bernhardus,Eupagurus bernhardus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,unnamed microspordium in bearded dragons,Pogona vitticeps,Pogona vitticeps,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Microsporidia sp. 1,Halammohydra intermedia,Halammohydra intermedia,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Microsporidia sp. 2,Dioryctria amatella,Dioryctria amatella,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Microsporidia sp. 3,Fenneropenaeus indicus; Penaeus semisulcatus,Fenneropenaeus indicus; Penaeus sernisulcatus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Microsporidia sp. 4,Penaeus monodon,Penaeus monodon,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Microsporidia sp. A,Phytoseiulus persimilis,Phytoseiulus persimilis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Microsporidia sp. B,Phytoseiulus persimilis,Phytoseiulus persimilis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Microsporidia sp. NIK-5hm,Bombyx mori,Bombyx mori,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,unnamed microsporidium (possibly Tricornia muhezae or Merocinta davidii),Mesocyclops rarus,Mesocyclops rarus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,unnamed microsporidium 1,Pseudodiplorchis americanus,Pseudodiplorchis americanus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,unnamed microsporidium 2,Martianus dermestoides,Martianus dermestoides,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,unnamed microsporidium 3,Gammarus duebeni,Gammarus duebeni,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,unnamed microsporidium in a parrot,Amazona ochrocephala oratrix,Amazona ochrocephala oratrix,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,unnamed microsporidium in Acrida turrita,Acrida turrita,Acrida turrita,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,unnamed microsporidium in Agapornis roseicollis,Agapornis roseicollis,Agapornis roseicollis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,unnamed microsporidium in gastrotrich,Turbanella lutheri,Turbanella lutheri,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Microsporidium sp. C81 (Microsporidium sp. C81),Corophium volutator,Corophium volutator,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Microsporidium sp. SH (Microsporidium sp. SH),Verasper variegatus,Verasper variegatus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Nosema sp. (possibly Endoreticulatus schubergi),Euprocitis chrysorrhoea,Euprocitis chrysorrhoea,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Nosema sp. 1,Antheraea mylitta,Antheraea mylitta,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Nosema sp. 2,Pieris rapae,Pieris rapae,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Nosema sp. 3,Spodoptera litura,Spodoptera litura,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Nosema sp. 506,Diatraea grandiosella; Ostrinia nubilalis; Diatraea crambidoides,Diatraea grandiosella; Diatraea crambidoides,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Pleistophora sp.,Epinephelus chlorostignei,Epinephelus chlorostignei,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed sp.,Hypera postica,NA,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Vairimorpha sp.,Hellula undalis,Hellula undalis,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Unnamed Vittaforma-like sp.,Homo sapiens,patients,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Vairimorpha hybomitrae,Hybomitra sp.,Gadflies,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Vairimorpha sp BM,Bombyx mori,Bombyx mori,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Vairimorpha sp. (authors proposed Nosema mesnili and Microsporidium mesnili be merged to this one species),Pieris rapae,Pieris rapae,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Vavraia anostraca,Artemia sp.,Artemia,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Vavraia parastacida,Cherax tenuimanus; Cherax quinquecarinatus; Cherax quadricarinatus; Cherax albidus,Cherax tenuimanus,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Hosts,Vittaforma corneae (= Nosema corneum),Homo sapiens; athymic mice,humans,"hosts were not in the abstract, or the recorded host name was different from the actual host name in the text"
Species Name,Amblyospora aestiva,Amblyospora aestiva,Amblyospora aectiva,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema purkeri,Nosema purkeri,Nosema parkeri,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,unnamed microsporidum of Microspora phylum,unnamed microsporidum of Microspora phylum,Encephalitozoon sp. 7,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Amblyospora sp. 37,Amblyospora sp. 37,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Amblyospora sp. 40,Amblyospora sp. 40,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Amblyospora weiseri,Amblyospora weiseri,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Ameson sp.,Ameson sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Amoebosporidium minutum,Amoebosporidium minutum,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Anncaliia meligethi (= Nosema meligethi),Anncaliia meligethi,Nosema meligethi,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Berwaldia hypodermica,Berwaldia hypodermica,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Berwaldia nana,Berwaldia nana,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Caudosporidae sp.,Caudosporidae sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Conglomerata obtusa,Conglomerata obtusa,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Cucumispora dikerogammari,Cucumispora dikerogammari,Nosema dikerogammari,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Cystosporogenes sp.,Cystosporogenes sp.,Cystosporogenes species,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Desmozoon lepeophtherii (also Paranucleospora theridion),Desmozoon lepeophtherii,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Dictyocoela duebenum,Dictyocoela duebenum,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Dictyocoela roeselum,Dictyocoela roeselum,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Encephalitozoon flavescens,Encephalitozoon flavescens,E.flavescens,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Encephalitozoon intestinalis (= Septata intestinalis),Encephalitozoon intestinalis,Septata Intestinalis,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Encephalitozoon sp. (?),Encephalitozoon sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Encephalitozoon sp. 2,Encephalitozoon sp. 2,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Encephalitozoon sp. 3,Encephalitozoon sp. 3,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Encephalitozoon sp. 4,Encephalitozoon sp. 4,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Encephalitozoon sp. 5,Encephalitozoon sp. 5,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Encephalitozoon sp. 6,Encephalitozoon sp. 6,Encephalitozoon-like microsporidia,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Encephalitozoon sp. 7,Encephalitozoon sp. 7,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Endoreticulatus sp. from Eilema complana,Endoreticulatus sp. from Eilema complana,Endoreticulatus sp.,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Enterocytozoon sp.,Enterocytozoon sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Enteropsectra breve,Enteropsectra breve,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Enteropsectra longa,Enteropsectra longa,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Episeptum anaboliae,Episeptum anaboliae,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Episeptum pseudoinversum,Episeptum pseudoinversum,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Episeptum trichoinvadens,Episeptum trichoinvadens,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Flabelliforma diaptomi (= Stempellia diaptomi),Flabelliforma diaptomi,Stempellia diaptomi,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Geusia gamocystis,Geusia gamocystis,Geusia gamocysti,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Glugea americanus,Glugea americanus,Glugea umericunus,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Hamiltosporidium magnivora (= Flabelliforma magnivora),Hamiltosporidium magnivora,Flabelliforma magnivora,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Helmichia aggregata,Helmichia aggregata,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Heterovesicula cowani (= Vairimorpha sp.),Heterovesicula cowani,Vairimorpha n. sp.,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Kabataia arthuri (= Microsporidium arthuri),Kabataia arthuri,Microsporidium arthuri,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Kneallhazia solenopsae,Kneallhazia solenopsae,Thelohania solenopsae,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Liebermannia sp. [unknown],Liebermannia sp. [unknown],Liebermannia sp.,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Loggerhead turtle microsporidium,Loggerhead turtle microsporidium,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Loma diplodae,Loma diplodae,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Loma fontinalis,Loma fontinalis,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Metchnikovella sp. (?),Metchnikovella sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Microspordium sp. C. aurata,Microspordium sp. C. aurata,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Microsporidium caeruleosticti,Microsporidium caeruleosticti,Microsporidioum caeruleosticti,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Microsporidium cerebralis,Microsporidium cerebralis,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Microsporidium chironomi from 1981,Microsporidium chironomi from 1981,Microsporidium chironomi,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Microsporidium chloroscombri,Microsporidium chloroscombri,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Microsporidium dicologolossae,Microsporidium dicologolossae,Microsporidium dicologoglossae,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Microsporidium fimbriatum,Microsporidium fimbriatum,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Microsporidium milevae,Microsporidium milevae,Microsporidia sp.,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Mutated Thelohaniidae sp.,Mutated Thelohaniidae sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Mutated Unikaryonidae sp.,Mutated Unikaryonidae sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Myosporidium ladogensis (= Pleistophora ladogensis),Myosporidium ladogensis,Pleistophora ladogensis,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nematocida ciargi,Nematocida ciargi,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nematocida homosporus,Nematocida homosporus,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nematocida major,Nematocida major,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nematocida minor,Nematocida minor,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema apicalis,Nosema apicalis,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema apterygotae,Nosema apterygotae,Nosema apyterygotae,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema assamensis,Nosema assamensis,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema dryocoetesi,Nosema dryocoetesi,Nosemu dryocoetesi,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema dungeri,Nosema dungeri,Noserrla dungeri,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema epilachnae,Nosema epilachnae,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema fuhreri,Nosema fuhreri,Nosema führeri,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema medinalis,Nosema medinalis,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema mylitta,Nosema mylitta,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema ormieresi,Nosema ormieresi,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema pfeifferi,Nosema pfeifferi,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema polyphemi,Nosema polyphemi,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema ricini,Nosema ricini,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema sp. 30,Nosema sp. 30,Nosema species,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema sp. 32,Nosema sp. 32,Nosema-type microsporidian,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema sp. 33,Nosema sp. 33,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema sp. 35,Nosema sp. 35,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema sp. from Operophtera brumata,Nosema sp. from Operophtera brumata,Nosema species,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema sp. from Orthosia cerasi,Nosema sp. from Orthosia cerasi,Nosema species,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema sp. from Orthosia cruda,Nosema sp. from Orthosia cruda,Nosema species,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema sp. from Tortrix viridana,Nosema sp. from Tortrix viridana,Nosema species,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Nosema varivestis,Nosema varivestis,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Octosporea diaphanosomae,Octosporea diaphanosomae,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Oligosporidium arahnicolum,Oligosporidium arahnicolum,Oligosporidium nov. gen. arachnicolum,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Oogranate pervascens,Oogranate pervascens,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Ordospora durforti (= Endoreticulatus durforti),Ordospora durforti,Endoreticulatus durforti,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Pancytospora philotis,Pancytospora philotis,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Paraepiseptum plectronemiae (Paraepiseptum plectrocnemiae),Paraepiseptum plectronemiae,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Paramicrosporidium saccamoebae,Paramicrosporidium saccamoebae,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Paramicrosporidium vannellae,Paramicrosporidium vannellae,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Paranosema grylli (= Nosema grylli),Paranosema grylli,Nosema grylli,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Parathelohania costatus,Parathelohania costatus,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Pleistophora (?) sp.,Pleistophora sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Pleistophora beebei,Pleistophora beebei,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Pleistophora priacanthicola,Pleistophora priacanthicola,Plistophora priacanthicola,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Pleistophora sp. 9,Pleistophora sp. 9,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Pleistophora xyloteri,Pleistophora xyloteri,Pleistophoru xyloteri,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Telomyxa orae,Telomyxa orae,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Thelohania collernbolae,Thelohania collernbolae,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Thelohania limbata,Thelohania limbata,Thelo. hania limbatan.,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Thelohaniida sp. 1,Thelohaniida sp. 1,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Thelohaniida sp. 2,Thelohaniida sp. 2,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Thelohaniidae sp. 1,Thelohaniidae sp. 1,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Thelohaniidae sp. 2,Thelohaniidae sp. 2,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Toxoglugea tillargi,Toxoglugea tillargi,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Trachipleistophora sp.,Trachipleistophora sp.,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Tubulinosema ratisbonesis (Tubulinosema ratisbonensis),Tubulinosema ratisbonesis,Tubulinosema ratisbonensis,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
Species Name,Unikaryon phyllotretae,Unikaryon phyllotretae,NA,recorded microsporidia was not in abstract or the recorded microsporidia was different from the actual microsporidia name in text
