title_abstract,species,spore_shape,spore_shape_formatted,shapes_not_in_text,shapes_not_in_text_corrected
"Development and pathology of two undescribed species of microsporidia infecting the predatory mite, Phytoseiulus persimilis Athias-Henrio. Two undescribed species of microsporidia were found in mass-reared Phytoseiulus persimilis Athias-Henriot from two commercial sources during a routine examination of these predators for pathogens. Both microsporidian species were described from specimens that had been prepared for transmission electron microscopy; live specimens were unavailable for examination. One microsporidium, identified as Species A, was described from two specimens obtained from a commercial insectary in North America. All observed stages of this microsporidium were uninucleate. Rounded-to-ovoid schizonts appeared to develop in direct contact with the cytoplasm of lyrate organ cells (ovarian tissue). Mature spores of Species A were elongate-ovoid and measured 2.88 × 1.21 μm. A polar filament coiled 7 to 10 times in the posterior half of the spore. Sporoblasts and spores were observed in the cytoplasm of cells of numerous tissues and in developing eggs within gravid females. A second species, identified as Species B, was described from five specimens obtained from a commercial source in Israel. All observed stages of this microsporidium were uninucleate. Schizonts of Species B were observed within the cytoplasm of cecal wall cells and within the nuclei of lyrate organ cells. Mature spores were ovoid and measured 2.65 × 1.21 μm. A polar filament coiled 3 to 4 times in the posterior half of the spore. Densely packed ribosomes often concealed the polar filament and other internal spore characteristics. Spores were observed in the cytoplasm of cells of numerous tissues and occasionally within the nuclei of lyrate organ cells. Numerous spores and presporal stages were observed within the ovary and developing eggs. The development and pathology of Species A and B were compared to those of Microsporidium phytoseiuli Bjørnson, Steiner and Keddie, a microsporidium previously described from P. persimilis obtained from a commercial source in Europe. The occurrence of three species of microsporidia within P. persimilis from three sources raises questions regarding the origin of these pathogens. Because microsporidia may have profound impact on the performance of P. persimilis, consideration must be given to the identification and exclusion of microsporidia from field-collected specimens or from predators that may be shared among commercial sources.",Unnamed Microsporidia sp. A; Unnamed Microsporidia sp. B,oval || oval,"['oval', 'oval']",{'oval'},Rounded-to-ovoid; elongate-ovoid
Development of Amblyospora punctor sp.n. (Microspora: Amblyosporidae) in the Larval Mosquito Aedes punctor (Diptera: Culicidae),Amblyospora punctor,oval,['oval'],{'oval'},
"Development of Nosema partelli, new species (Protozoa: Microsporida: Nosematidae) in the stem borer Chilo partellus (Swinhoe) (Lepidoptera: Pyralidae). The development of a new species of Nosema (N. partelli sp. n.) from the spotted stem borer, Chilo partellus (Swinhoe), is described. The microsporidia infect eggs, all larval stages and moths of both sexes of the borer. Infection of the eggs implies that transovarial transmission occurs. Spores of constant size are produced, meronts are mainly binucleated but may contain up to eight nuclei. Presporoblastic meronts are single structures, there are no linear or colony formations. Individual diplokaryotic sporoblasts are chromophilic, and slight overstaining produces almost black spherical and oval structures. The diplokaryotic nucleus is characterized by an achromatic line less than 1 mu-m in width which divides it through its centre. This characteristic does not occur in other species of Nosema and is unique to N. partelli. It occurs through all developmental stages from the diplokaryotic sporoblast to the encysting spores. Sporogony is heralded by spindle-shaped diplokaryotic sporoblasts. Diplokaryotic sporonts decrease in size, their nuclei tend to become smaller and pyknotic, after which visible detail is lost following encystment.",Nosema partelli,ovoid (from figures),['ovoid'],{'ovoid'},
"Dimorphism of spores of Nosema spp. in cultured cell. A Nosema sp. from the lawn grass cutworm, Spodoptera depravata, produced two types of spores in cultured cells of Antheraea eucalypti. One was characterized by 3 to 5 coils of the polar tube, thin endospore (35 nm), early development (36 hr postinoculation), and the spontaneous discharge of a short polar tube. The other type characterized by 10 to 12 coils of the polar tube, thick endospore (91 nm), and late development (54 hr postinoculation) was the predominant spore in later culture and was similar to the purified spores harvested from diseased insects, which discharged a long polar tube. Nosema bombycis similarly produced two types of spores in cultured cell",Nosema sp. 31,pyriform (Few Coils type); variable in shape (Few Coils type); oval (Many Coils type); uniform shape (Many Coils type); smaller size (Many Coils type),"['pyriform', 'variable in shape', 'oval', 'uniform shape', 'smaller size']","{'pyriform', 'oval', 'uniform shape', 'smaller size', 'variable in shape'}",
"Discovery of a Natural Microsporidian Pathogen with a Broad Tissue Tropism in Caenorhabditis elegans. Microbial pathogens often establish infection within particular niches of their host for replication. Determining how infection occurs preferentially in specific host tissues is a key aspect of understanding host-microbe interactions. Here, we describe the discovery of a natural microsporidian parasite of the nematode Caenorhabditis elegans that displays a unique tissue tropism compared to previously described parasites of this host. We characterize the life cycle of this new species, Nematocida displodere, including pathogen entry, intracellular replication, and exit. N. displodere can invade multiple host tissues, including the epidermis, muscle, neurons, and intestine of C. elegans. Despite robust invasion of the intestine very little replication occurs there, with the majority of replication occurring in the muscle and epidermis. This feature distinguishes N. displodere from two closely related microsporidian pathogens, N. parisii and N. sp. 1, which exclusively invade and replicate in the intestine. Comparison of the N. displodere genome with N. parisii and N. sp. 1 reveals that N. displodere is the earliest diverging species of the Nematocida genus. Over 10% of the proteins encoded by the N. displodere genome belong to a single species-specific family of RING-domain containing proteins of unknown function that may be mediating interactions with the host. Altogether, this system provides a powerful whole-animal model to investigate factors responsible for pathogen growth in different tissue niches.",Nematocida displodere,oblong,['oblong'],{'oblong'},
Effects of Polydispyrenia simulii (Microspora; Duboscqiidae) on development of the gonads of Simulium pertinax (Diptera; Simuliidae),Helmichia aggregata,rod-shaped; lightly bent,"['rod-shaped', 'lightly bent']","{'lightly bent', 'rod-shaped'}",
"Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils. Four new species of the genus Pleistophora (P. oribatei, P. cephei, P. platynothri, and P. dindali), one of Thelohania (Th. microtritiae), and three of Nosema (N. steganacari, N. acari, and N. führeri) are discovered and described from mossmites (Oribatei, Acarina) in forest soil samples from Lower Saxony and Hessen (Federal Republic of Germany). Acht neue Mikrosporidien‐Arten aus Hornmilben (Oribatei, Acarina) aus Waldböden Im Rahmen einer vergleichenden Bodentieruntersuchung wurden in verschiedenen Waldstandorten Niedersachsens und Hessens 62 Hornmilbenarten festgestellt, von denen 12 Arten mit Mikrosporidien infiziert waren. Diese gehören acht verschiedenen Species an, die hier als neue Arten beschrieben werden: Pleistophora oribatei n. sp. in verschiedenen Hornmilbenarten; P. cephei n. sp. in Cepheus dentatus Michael (Cepheidae); P. platynothri n. sp. in Platynothrus peltifer C. L. Koch (Camisiidae); P. dindali n. sp. in Carabodes coriaceus C. L. Koch (Carabodidae); Thelohania microtritiae n. sp. in Microtritia minima Berlese (Euphtiracaridae); Nosema steganacari n. sp. in Steganacarus striculus C. L. Koch (Phtiracaridae); N. acari n. sp. in Damaeus onustus C. L. Koch and D. clavipes Hermann (Damaeidae), und N. führeri n. sp. in Phtiracarus globosus C. L. Koch (Phtiracaridae). Der nachgewiesene Mikrosporidienbefall betrug bei den meisten Wirtsarten 2–5%, nur bei Rhysotritia duplicata Grandjean (Euphtiracaridae) lag er bei 15% und M. minima 10%.",Nosema acari; Nosema fuhreri; Nosema steganacari; Pleistophora cephei; Pleistophora dindali; Pleistophora oribatei; Pleistophora platynothri; Thelohania microtritiae,oval || oval; broadly pyriform || oval || broad oval || spherical; oval; rectangular (only stained spores; probably just deformed) || oval || broad-oval || spherical; oval (rarely),"['oval', 'oval', 'broadly pyriform', 'oval', 'broad oval', 'spherical', 'oval', 'rectangular (only stained spores', '', 'oval', 'broad-oval', 'spherical', 'oval']","{'broad oval', 'oval', 'rectangular (only stained spores', 'spherical', 'broadly pyriform', 'broad-oval'}",
"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae). Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",Amblyospora albifasciati; Amblyospora criniferis; Amblyospora dolosi (1); Amblyospora ferocis (Amblyospora ferocious); Amblyospora indubitantis; Amblyospora nataliae; Amblyospora tramazayguesi; Parathelohania evansae,"elongate-oval (meiospore, fresh); attenuated anteriorly and posteriorly (meiospore, fresh); collapsed (meiospore, stained) || short ovoid (meiospore, fresh); broadly rounded posterior (meiospore, fresh); collapsed (meiospore, stained) || ovoid (meiospore of Culex dolosus, fresh); attenuated anteriorly (meiospore of Culex dolosus, fresh); broadly rounded posterior (meiospore of Culex dolosus, fresh); collapsed (meiospore of Culex dolosus, stained); lanceolate (in Metacyclops mendocinus); curved (in Metacyclops mendocinus) || ovoid (meiospore, fresh); attenuated anteriorly (meiospore, fresh); broadly rounded posterior (meiospore, fresh); collapsed (meiospore, stained) || ovoid (meiospore, fresh); attenuated anteriorly (meiospore, fresh); broadly rounded posterior (meiospore, fresh); collapsed (meiospore, stained) || ovoid (meiospore, fresh); attenuated anteriorly (meiospore, fresh); attenuated posteriorly (meiospore, fresh); collapsed (meiospore, stained) || ovoid (meiospore, fresh); attenuated anteriorly (meiospore, fresh); attenuated posteriorly (meiospore, fresh); collapsed (meiospore, stained) || elongate ovoid (meiospore, fresh); wrinkled posterior (meiospore, fixed); flattened at the poles (meiospore, fixed)","['elongate-oval', 'attenuated anteriorly and posteriorly', 'collapsed', 'short ovoid', 'broadly rounded posterior', 'collapsed', 'ovoid', 'attenuated anteriorly', 'broadly rounded posterior', 'collapsed', 'lanceolate', 'curved', 'ovoid', 'attenuated anteriorly', 'broadly rounded posterior', 'collapsed', 'ovoid', 'attenuated anteriorly', 'broadly rounded posterior', 'collapsed', 'ovoid', 'attenuated anteriorly', 'attenuated posteriorly', 'collapsed', 'ovoid', 'attenuated anteriorly', 'attenuated posteriorly', 'collapsed', 'elongate ovoid', 'wrinkled posterior', 'flattened at the poles']","{'wrinkled posterior', 'attenuated anteriorly', 'short ovoid', 'broadly rounded posterior', 'lanceolate', 'flattened at the poles', 'ovoid', 'attenuated posteriorly', 'elongate-oval', 'curved', 'elongate ovoid', 'attenuated anteriorly and posteriorly', 'collapsed'}",
"Ein Mikrosporidier, Geusia gamocysti n. gen., n. sp., als Hyperparasit bei Gamocystis ephemerae. The new-described species and genus of the order of Microsporidia Balbiani 1882 Geusia gamocysti shows no separate development of macro- and microspores. The sporont divides into 6 or 8 sporoblasts, which directly form spores. The differentiation of the polar file is demonstrated. The constant number of turns is 4½. The terminal fastening of this file at the inner membrane of the spores is well to be seen. A typical reticulum (polaroplast) of the spore is regarded. The outer covering is sharply limited. The described species cannot systematized to known genus. Therefore it seems necessary to form a new genus.",Geusia gamocystis,Elliptical,['elliptical'],{'elliptical'},
"Electron Microscopical Study of a New Genus and New Species of Microsporida in the Gills of Atlantic Cod Gadus Morhua L.*. A microsporidium, forming xenoparasitie complexes (xencmas) of the cell-hypertrophy tumour type, was found in the gills of the Atlantic cod Gadus morhua L. and studied with the electron microscope. It seemed to be similar to Nosema branehiale Nemeezek, 1911, in the haddock Melanogrammus aeglefinus (L.) except in size of spore. The xenoma (cyst) was basically like the Glugea eyst and the parasite had some other characters in common with Glugea; it was apansporoblastie, unikaryotic, disporoblastie and underwent partial development in parasitophorous vacuoles. It differed from Glugea in lacking plasmodial stages, producing usually 1 or 2 spores (rather than 16) in a vacuole, showing no distinct tendency for different stages to occur in different zones of the cyst and having tubules in the parasitophorous vacuoles. The name Loma morhua n. g., n. sp. (type) was proposed and the genus assigned to the family Glugeidae Thelohan. 1892. The parasite of haddock gill was transferred to the new genus, becoming L. branchiaUs (Nemeezek, 1911) n. comb.",Loma morhua (1),elongate-ovoid,['elongate-ovoid'],{'elongate-ovoid'},
"Encephalitozoon-Like Microsporidia in the Ticks Amblyomma cajennense and Anocentor nitens (Acari: Ixodidae). A Encephalitozoon-like microsporidia was found in epithelial cells o the midgut and the salivary glands of Amblyomma cajennense (F.) and Anocentor nitens (Neumann) that had fed on rabbits. Ultrastructural studies demonstrated that all stages of the life cycle of the parasite occur m parasitophorous vacuoles and contain only 1 nucleus. The sporonts detach from the limiting membrane of the vacuole and divide by binary fission to produce the sporoblasts, each presenting a thickened electron-dense wall, and a primordium of a polar filament. Each spore contained a single nucleus, an electron-dense and rough exospore, an electron-lucent and thick endospore, and 5 coils of the polar tubule.",Encephalitozoon sp. 6,ovoid,['ovoid'],{'ovoid'},
"Enterospora canceri n. gen., n. sp., intranuclear within the hepatopancreatocytes of the European edible crab Cancer pagurus. Only 1 genus (Nucleospora) within 1 family (Enterocytozoonidae) of the Microsporidia contains species that are parasitic within the nuclei of their host cells; to date, all described intranuclear Nucleospora spp. parasitise fish. This study describes the first intranuclear microsporidian parasite of an invertebrate, the European edible crab Cancer pagurus L. (Decapoda: Cancridae). Infected crabs displayed no obvious external signs, and maximum apparent prevalence of infection within a monthly sample was 3.45 %. Infected hepatopancreatic tubules were characterised by varying numbers of hypertrophic and eosinophilic nuclei within epithelial cells. Parasite stages appeared as eosinophilic granular accumulations causing margination of host chromatin. In advanced cases, the tubule epithelia degenerated, with parasites and sloughed epithelial cells appearing in tubule lumens. All life stages of the parasite were observed within host nuclei. Uninucleate meronts were not detected, although binucleate stages were observed. Multinucleate Plasmodia (sporogonal Plasmodia) contained up to 22 nuclei in section, and late-stage Plasmodia contained multiple copies of apparatus resembling the polar filament and anchoring disk, apparently associated with individual plasmodial nuclei. As such, aggregation and early assembly of sporoblast components took place within the intact sporogonial Plasmodium, a feature unique to the Enterocytozoonidae. Liberation of sporoblasts from Plasmodia or the presence of liberated sporoblasts was not observed in this study. However, large numbers of maturing and mature spores (measuring 1.3 ± 0.02 x 0.7 ± 0.01 μm) were frequently observed in direct contact with the host nucleoplasm. Considering the shared features of this parasite with microsporidians of the family Enterocytozoonidae, and the unique presence of this parasite within the nucleoplasm of decapod crustacean hepatopancreatocytes, this parasite (Enterospora canceri) is proposed as the type species of a new genus (Enterospora) of microsporidian. Molecular taxonomic work is now required, comparing Enterospora to Enterocytozoon and Nucleospora, the 2 other genera within the Enterocytozoonidae. © Inter-Research 2007.",Enterospora canceri,oval,['oval'],{'oval'},
"Etude Ultrastructurale de Unikaryon matteii n. sp. (Microsporida, Unikaryonidae) Parasite de Nisotra sp. (Coleoptera, Chrysomelidae) et Remarques sur la Validité de Certaines Nosema d’Insectes. Unikaryon matteii n. sp. (Microsporida, Unikaryonidae) is a parasite of gut, Malpighian tubules, muscles, and fat body of Nisotra sp. (Coleoptera, Chrysomelidae). It develops diffusely in the host cell cytoplasm and is unikaryotic throughout merogony and sporogony.",Unikaryon matteii,Oval,['oval'],{'oval'},
"Euplotespora binucleata n. gen., n. sp. (Protozoa: Microsporidia), a Parasite Infecting the Hypotrichous Ciliate Euplotes woodruffi, with Observations on Microsporidian Infections in Ciliophora. ABSTRACT. A new microsporidian species, Euplotespora binucleata n. gen., n. sp., from the brackish-water ciliate Euplotes woodruffi is described and defined on the basis of life history characteristics, light and electron microscopic features, and small subunit (SSU) ribosomal DNA (rDNA) sequencing. The life cycle of E. binucleata n. sp. probably has rather short merogonic and relatively long sporogonic phases. Some uninuclear meronts and sporonts, along with diplokaryotic sporoblasts and spores, were found in experimentally infected host cells. Such a peculiar life cycle has been induced experimentally in Euplotes eurystomus and constitutively microsporidian-free stocks of E. woodruffi. Spores of E. binucleata n. sp. are monomorphic, ovoid–cylindrical in shape, 3.44±0.17 × 1.65±0.22 μm in size, and characterized by a diplokaryotic condition and a large posterior vacuole. The polar tube is isofilar, 4.5–5.5 μm in length when ejected, and lacking a distinctive coiled region (half-coiled). The polaroplast is divided into two regions: the anterior part has a few lamellae close to the anchoring disc; and the posterior part is a rounded body (sack), about one-quarter of the spore length. Spores do not appear to cluster together as a group. Each spore is surrounded by a sporophorous membrane closely adjacent to the exospore layer. A phylogenetic analysis of SSU rDNA sequences by different methods placed E. binucleata n. sp. in a clade with representatives of the microsporidian genera Cystosporogenes and Vittaforma. Observations of microsporidia in several other ciliates are discussed in view of the microsporidian infection frequency in the phylum Ciliophora.",Euplotespora binucleata,ovocylindrical,['ovocylindrical'],{'ovocylindrical'},ovoid–cylindrical
Experimental study of the transmission of microsporidians in bloodsucking mosquitoes from the southern part of West Siberia,Parathelohania costatus,oval,['oval'],{'oval'},
"Fine structure and sporogonic development of a Vavraia sp. (Microsporida: Pleistophoridae) in the biting midge Culicoides edeni (Diptera: Ceratopogonidae). A microsporidium with ultrastructural characteristics of the genus Vavraia was found in the fat body of an adult specimen of Culicoides edeni (Diptera: Ceratopogonidae) collected in northern Florida. The sporogonial stages developed within sporophorous vesicles, which contained variable numbers of oval spores at maturity. The wall of the sporophorous vesicle was composed of two electron-dense outer layers and an electron-lucent intermediate layer. Sporonts contained haplokaryotic nuclei and divided by rosette formation. Mature spores had anisofilar polar filaments and measured 3.8 ± 0.28 μm in length and 2.2 ± 0.16 μm in width in thick sections of resinembedded material. This is the first report of a Vavraia sp. from a species of Culicoides.",Vavraia sp.,oval; spherical; uniform in shape and dimension,"['oval', 'spherical', 'uniform in shape and dimension']","{'spherical', 'uniform in shape and dimension'}",
"Fine structure of the microsporidan Abelspora portucalensis gen.n., sp.n. (Microsporida) parasite of the hepatopancreas of Carcinus maenas (Crustacea, Decapoda). A new species of a microsporidan, Abelspora portucalensis, was found in the hepatopancreas of Carcinus maenas. forming white xenomas. Each xenoma seems to consist of an aggregate of hypertrophic host cells in which the parasite develops and proliferates. This cytozoic microsporidan being characterized by one uninucleate schizont giving rise to two sporonts. each originating two sporoblasts, resulting in two spores within a persistent sporophorous vacuole (pansporoblast) should be included in a new family Abelsporidue. In fresh smears most spores were 3.1-3.2 um long and 1.2-1.4 um wide. Fixed, stained, and observed in SUS mature spores measured 3.1 ± 0.08 x 1.3 ± 0.06 um (n = 25 measurements). Spore cytoplasm was dense and granular. Polyribosomes were arranged in helicoidal tape form. The polar filament was anisofilar and consisted of a single coil with 5-6 turns. The anchoring disc and and the anterior zone of the filament are surrounded by the polaroplast composed of two usual zones. In the anterior zone, the membrane of the polar filament is in continuity with the membranes of the polaroplast. The appearance of a microsporidan with described nuclear divisions in life cycle. spores shape and size. polaroplast and polar filament morphology and identity of the host suggests that we may erect a new genus Abelspora and a new species A. portucalensis (Portugal = Portucalem).",Abelspora portucalensis (1),ellipsoid,['ellipsoid'],{'ellipsoid'},
"First Record of Microsporan Infection on Sitophilus oryzae (L.) in India. A species of microsporan, Microsporidium sitophili from a coleopteran stored-grain pest, Sitophilus oryzae is proposed in this communication.",Microsporidium sitophili,ellipsoidal,['ellipsoidal'],{'ellipsoidal'},
"First detection of a microsporidium in the crucifer pest Hellula undalis (Lepidoptera: Pyralidae)—a possible control agent?. For the first time, a microsporidian infection was observed in the pest species Hellula undalis (Lepidoptera: Pyralidae) in crucifer fields in Nueva–Ecija, Philippines. Because H. undalis is difficult to control by chemical insecticides and microbiological control techniques have not been established, we investigated the biology, the pathogenicity and transmission of this pathogen found in H. undalis. An average of 16% of larvae obtained from crucifer fields in Nueva–Ecija displayed microsporidian infections and 75% of infected H. undalis died during larval development. Histopathological studies revealed that the infection is initiated in the midgut and then spreads to all organs. The microsporidium has two different sporulation sequences: a disporoblastic development producing binucleate free mature spores and an octosporoblastic development forming eight uninucleate spores. These two discrete life cycles imply its taxonomic assignment to the genus Vairimorpha. The size of the binucleate, diplokaryotic spores as measured on Giemsa-stained smears was 3.56±0.29μm in length and 2.18±0.21μm in width, whereas the uninucleate octospores measured 2.44±0.20×1.64±0.14μm. The microsporidium was orally and probably also transovarially transmitted. Laboratory infection tests by feeding spores on artificial diet to 3rd instars resulted in 100% infection with a final mortality of 80%. Most larvae died during larval development and 40% of them died 3 days after spore ingestion. This microsporidium shows potential for microbiological pest management.",Unnamed Vairimorpha sp.,"oval (c1, c2)",['oval'],{'oval'},
"First finding of a microsporidian parasite in the gastrotrich, Turbanella lutheri (Gastrotricha: Macrodasyida). A microsporidian parasite is reported for the first time in Turbanella lutheri (Gastrotricha: Macrodasyida), a representative of a new host class. Sporonts, sporoblasts, and spores located in host-derived vacuoles within the intestine cells are documented by TEM micrographs. Mature spores, shells of hatched spores, and everted polar tubes occur also in the gut lumen of the host.",unnamed microsporidium in gastrotrich,oval; ellipsoid,"['oval', 'ellipsoid']","{'oval', 'ellipsoid'}",
"First report of microsporidian infections in solefishes from Senegal coast (West Africa). Three microsporidian species were isolated from solefishes from Senegal. These microsporidia were: Microsporidium dicologoglossae sp.n in Dicologoglossa cuneata, Microsporidium synapturae sp.n in Synaptura cadenati and Synaptura lusitanica, and Microsporidium vanstraeleniae sp. in Vanstraelenia chirophthalmus. All these species infected the liver of their hosts and induced formation of xenomas.",Microsporidium dicologolossae; Microsporidium synapturae; Microsporidium vanstraeleniae,"elongated oval || oval (c1, c2) || elongated oval","['elongated oval', 'oval', 'elongated oval']","{'oval', 'elongated oval'}",
"Four New Microsporidia Found in the Mosquitoes Anopheles Gambiae and Culex Pipiens Quinquefasciatus from Nigeria. In the salivary glands of adult mosquitoes Anopheles gambiae from Central and Northern Nigeria the microsporidia Parathelohania africana and Amblyospora coluzzii sp. n. with thick-walled spores in the mucous envelopes were found, respectively. The corresponding supposed thin-walled form had kidney-shaped elongated spores. Nosema salivaria sp. n., forming large clusters of oval spores in the salivary glands, parasitized the same mosquito population. Two microsporidia, Amblyospora nigeriana sp. n. and A. Kadunae sp. n. infecting the fat body were found in larvae of Culex pipiens quinquefasciatus from the environs of Kaduna.",Amblyospora coluzzii; Amblyospora kadunae; Amblyospora nigeriana; Nosema salivaria,Oval || Oval || Broadly oval || Oval,"['oval', 'oval', 'broadly oval', 'oval']",{'broadly oval'},Kidney-shaped; elongated
"GURLEYA PONTICA SP. N. (MICROSPORIDIA, THELOHAN11 DAE) — НОВЫЙ ВИД МИКРОСПОРИДИЙ ИЗ КРЕВЕТОК PALAEMON ELEGANS (CRUSTACEA, DECAPODA). A new species of microsporidians of the genus Gurleya from cells of cross-striated musculature of Palaemon elegans is described. Merogony is accompanied by the formation of a chain of mononuclear individuals in a number divisible by 3. Sporonts form tetranuclear cells which turn into pansporoblasts 4.0-5.0 μ in diameter . Spores are ovoid, 3.5-3.7 X 2.3-2.5 μ, thick- walled. Polaroplast occupies more than a half of the spore's length, posterior vacuole its 1/5 , nuclear substance is in the posterior third of the spore. The new species differs from other species of the genus Gurleya in the size and shape of spores. The name has been given according to the place of its find.",Gurleya pontica,Egg-shaped,['egg-shaped'],{'egg-shaped'},ovoid
"Globulispora mitoportans n. g., n. sp., (Opisthosporidia: Microsporidia) a microsporidian parasite of daphnids with unusual spore organization and prominent mitosome-like vesicles. The microsporidian parasite Globulispora mitoportans, n. g., n. sp., infects the intestinal epithelium of two species of daphnids (Crustacea: Cladocera). Mature spores are thin-walled and possess a novel type of polaroplast with a conspicuous part consisting of globules that occupies a large part of the spore volume. Both developmental stages and the spores possess large, electron-lucent vesicles enveloped by a double membrane and filled with an internal web of filamentous material, corresponding structurally to microsporidian mitosomes. The SSU rRNA phylogeny places Globulispora into a specific “Enterocytospora-like” clade, part of a large “non-enterocytozoonidae” clade, grouping a heterogenous assemblage of microsporidia infecting almost exclusively insects and crustacea.",Globulispora mitoportans,ovoid to oval,['ovoid to oval'],{'ovoid to oval'},
"Glugea Nemipteri Sp. n. and Nosema Bengalis Sp. n., Two New Microsporidia of Nemipterus Japonicus in India. Two microsporidia, Glugea nemipteri sp. n. and Nosema bengalis sp. n. are described from muscles, gonads and liver, and gills respectively of Nemipterus japonicus collected in the Gulf of Bengal. Infections are distributed in separate areas and do not interfere. Number of infected fishes decreases with the age of the hosts.",Glugea nemipteri; Nosema bengalis,oval || pyriform,"['oval', 'pyriform']","{'oval', 'pyriform'}",
"Glugea heraldi n. sp. (Microsporida, Glugeidae) from the seahorse Hippocampus erectus Perry. A new species of Microsporida, Glugea heraldi, is described from the seahorse Hippocampus erectus. Measurements of fixed spores and notes on the histopathology of parasitized tissue are given",Glugea heraldi,oval,['oval'],{'oval'},
"Glugea jazanensis sp. nov. infecting Lutjanus bohar in the Red Sea: ultrastructure and phylogeny. During a survey of the microsporean fauna of the two-spot red snapper Lutjanus bohar Forsskål, 1775, from the Red Sea off Jizan (Saudi Arabia), a species of Glugea Thélohan, 1891 was found that did not conform to any known species. The species is characterized by the presence of spherical xenomas (ca. 2-5 mm in diameter) in the host body cavity. Examination of the lifecycle stages and mature spores using light and transmission electron microscopy also revealed morphological characteristics typical of species of the genus Glugea. Spores were elongated-ovoid with a posterior vacuole surrounded by the polar filament coils. Mature spores were 4.5 (4.0-4.8) µm long and 2.5 (2.0-2.5) µm wide. The polar filament was isofilar with 28 to 30 coils, although in most cases 29 coils, organized in 3 rows. Phylogenetic study based on the partial sequence of the small subunit (SSU) rRNA gene clustered the new microsporidia within the clade grouping species of the genus Glugea. The comprehensive analysis of the parasite’s ultrastructural characteristics, together with molecular data for the SSU rDNA gene, suggests that this parasite is a new species of the genus Glugea, for which the name Glugea jazanensis sp. nov. is proposed.",Glugea jazanensis,elongate-ovoid,['elongate-ovoid'],{'elongate-ovoid'},elongated-ovoid
"Helmichia anomala sp. nov. (Microspora, Striatosporidae) a new microsporidian parasite of Microtendipes pedellus (Diptera, Chironomidae) in Poland. The new microsporidium, Helmichia anomala sp. nov., a parasite of the adipose tissue of the midge larva Microtendipes pedellus (Diptera, Chironomidae) is described, based primarily on ultrastructural characteristics. Each diplokaryotic sporont yields eight monokaryotic sporoblasts in a thin-walled sporophorous vesicle containing tubular and granular inclusions. Sporogonial reproduction is by rosette-like budding. The live spores are rod-shaped measuring 1.3 ± 0.2 (0.9-1.7) x 2.9 ± 0.4 (2.3-4.2) μm. The spore wall consists of a plasmalemma, a thin endospore, and a two layered exospore 30-34 nm wide. The polaroplast has two subdivisions: Tightly packed lamellae and a posterior, probably, spongious zone. The uncoiled isofilar polar filament measured 104-109 nm in diameter. A small number of single diplokaryotic spores and anomalous spores are recorded. Discrimination from other microsporidian species and its systematic position are discussed.",Helmichia anomala,"rod (fresh);
ovocylindrical (fixed)","['rod', 'ovocylindrical']",{'ovocylindrical'},
"Hepatic microsporidiosis of juvenile grey mullet, Chelon labrosus (Risso), due to Microgemma hepaticus gen.nov. sp.nov.. Microgemma hepaticus gen.nov. sp.nov. is described from the liver of juvenile grey mullet, Chelon labrosus (Risso). Development occurs within xenomas (diameter 500μm) which have microvillar surfaces, encircling bands of mitochondria and a reticulate hypertrophic nucleus. Vegetative developmental stages, meronts, are plasmodial and divided by plasmotomy. These stages are enclosed by host membranes. Sporogonic stages are free in the cytoplasm and divide by multiple exogenous budding. Uninucleate spores (2·4μm × 4·2μm) possess 7–9 coils of the polar filament and a lamellar polaroplast. Xenomas are associated with liver connective tissue, and cause necrosis of adjacent liver cells in certain circumstances. Host response to infection involves leucocyte infiltration and granuloma formation, with spores being destroyed by repeated macrophage phagocytosis and necrosis and resulting in gradual resolution of the lesion. Although juveniles apparently tolerate large parasite burdens there is some evidence of a contribution by the parasite to stress‐related mortality. The transmission of the disease and its potentially high pathogenicity to larval fishes is discussed.",Microgemma hepaticus,pyriform,['pyriform'],{'pyriform'},
"Heterosporis cichlidarum n.sp (Microspora), a parasite of the ornamental cichlid fish Hemichromis bimaculatus gill, 1862. Heterosporis cichlidarum n. sp. (Microspora) was found in the striated skeletal muscles of the aquarium fish Hemichromis bimaculalus (Teleost, Cichlidae). Microsporidium formed voluminous sporophorocysts that contained many sporophorous vesicles (10 to 12 spores in each vesicle). Only one type of spores was present, medium size 7-8 × 4-4.5 μm (monomorphic species). During merogony, abundant secretions (granules and filaments were formed into the sporophorocyst cavity.",Heterosporis cichlidarum,ovoid; slightly pyriform,"['ovoid', 'slightly pyriform']","{'slightly pyriform', 'ovoid'}",
