species,title_abstract,hosts,infection_site,infection_site_corrected,hosts_corrected,species_corrected
Enterocytozoon salmonis,"Enterocytozoon salmonis n. sp.: an intranuclear microsporidium from salmonid fish.. The developmental stages of a recently described microsporidian from the nucleus of hematopoietic cells of salmonid fish were found to be unique among the Microsporida. All observed stages, including meronts, sporonts, and spores were in direct contact with the host cell nucleus (principally hematopoietic cells) of chinook salmon (Oncorhynchus tshawytscha). There is no parasitophorous vacuole and sporogony does not involve formation of a pansporoblastic membrane as with other members of the suborder Apansporoblastina. The extrusion apparatus differentiates prior to division of sporogonial plasmodia. The spores are ovoid (1 x 2 microns) and uninucleate, and possess a coiled polar tube with 8-12 turns. Developmental stages of the salmonid microsporidian are similar to those described for Enterocytozoon bieneusi as found in the intestinal mucosa of human AIDS patients. However, the intranuclear development, different cell types, and host infected clearly separate the salmonid and human parasites. Accordingly, the intranuclear parasite of salmonids is given the name Enterocytozoon salmonis n. sp. within the suborder Apansporoblastina.",Oncorhynchus tshawytscha; Oncorhynchus mykiss,hematopoietic cells; kidney epithelium; urinary tubule epithelium; rodlet cells,NA,,
Facilispora margolisi,"The Diversity of Microsporidia in Parasitic Copepods (Caligidae: Siphonostomatoida) in the Northeast Pacific Ocean with Description of Facilispora margolisi n. g., n. sp. and a new Family Facilisporidae n. fam.. Three distinct microsporidia were identified from parasitic copepods in the northeast Pacific Ocean. Sequencing and phylogenetic analysis of a partial small subunit ribosomal RNA gene (SSU rDNA) sequence identified a genetically distinct variety of Desmozoon lepeophtherii from Lepeophtheirus salmonis on cultured Atlantic salmon Salmo salar, and this was confirmed by transmission electron microscopy. Phylogenetic analysis resolved the SSU rDNA sequence of the second organism in a unique lineage that was most similar to microsporidia from marine and brackish water crustaceans. The second occurred in L. salmonis on Atlantic, sockeye Oncorhynchus nerka, chum O. keta and coho O. kisutch salmon, in Lepeophtheirus cuneifer on Atlantic salmon, and in Lepeophtheirus parviventris on Irish Lord Hemilepidotus hemilepidotus. Replication occurred by binary fission during merogony and sporogony, diplokarya were not present, and all stages were in contact with host cell cytoplasm. This parasite was identified as Facilispora margolisi n. g., n. sp. and accommodated within a new family, the Facilisporidae n. fam. The third, from Lepeophtheirus hospitalis on starry flounder Platichthys stellatus, was recognized only from its unique, but clearly microsporidian SSU rDNA sequence. Phylogenetic analysis placed this organism within the clade of microsporidia from crustaceans.",Lepeoptheirus salmonis; Lepeophtheirus cuneifer; Lepeophtheirus parviventris,subcuticular connective tissue; skeletal muscle; ovary; and digestive gland,NA,,
Fusasporis stethaprioni,"Tetra disseminated microsporidiosis: a novel disease in ornamental fish caused by Fusasporis stethaprioni n. gen. n. sp.. A novel microsporidial disease was documented in two ornamental fish species, black tetra Gymnocorymbus ternetzi Boulenger 1895 and cardinal tetra Paracheirodon axelrodi Schultz 1956. The non-xenoma-forming microsporidium occurred diffusely in most internal organs and the gill, thus referring to the condition as tetra disseminated microsporidiosis (TDM). The occurrence of TDM in black tetra was associated with chronic mortality in a domestic farmed population, while the case in cardinal tetra occurred in moribund fish while in quarantine at a public aquarium. Histology showed that coelomic visceral organs were frequently necrotic and severely disrupted by extensive infiltrates of macrophages. Infected macrophages were presumed responsible for the dissemination of spores throughout the body. Ultrastructural characteristics of the parasite developmental cycle included uninucleate meronts directly in the host cell cytoplasm. Sporonts were bi-nucleated as a result of karyokinesis and a parasite-produced sporophorous vesicle (SPV) became apparent at this stage. Cytokinesis resulted in two spores forming within each SPV. Spores were uniform in size, measuring about 3.9 ± 0.33 long by 2.0 ± 0.2 μm wide. Ultrastructure demonstrated two spore types, one with 9-12 polar filament coils and a double-layered exospore and a second type with 4-7 polar filament coils and a homogenously electron-dense exospore, with differences perhaps related to parasite transmission mechanisms. The 16S rDNA sequences showed closest identity to the genus Glugea (≈ 92%), though the developmental cycle, specifically being a non-xenoma-forming species and having two spores forming within a SPV, did not fit within the genus. Based on combined phylogenetic and ultrastructural characteristics, a new genus (Fusasporis) is proposed, with F. stethaprioni n. gen. n. sp. as the type species.",Gymnocorymbus ternetzi; Paracheirodon axelrodi,"systemic infection (most organs, similar tissues infected for both hosts); gills; macrophages; intestines (submucosa and muscularis); liver (hepatic parenchyma); testes (stroma); coelomic cavity; pancreas (stroma); ovary (stroma); spleen; adipose tissue; bile duct; skeletal muscles; eye (choroid rete); spinal cord; peripheral ganglia; pseudobranch; meninges",NA,,
Globulispora mitoportans,"Globulispora mitoportans n. g., n. sp., (Opisthosporidia: Microsporidia) a microsporidian parasite of daphnids with unusual spore organization and prominent mitosome-like vesicles. The microsporidian parasite Globulispora mitoportans, n. g., n. sp., infects the intestinal epithelium of two species of daphnids (Crustacea: Cladocera). Mature spores are thin-walled and possess a novel type of polaroplast with a conspicuous part consisting of globules that occupies a large part of the spore volume. Both developmental stages and the spores possess large, electron-lucent vesicles enveloped by a double membrane and filled with an internal web of filamentous material, corresponding structurally to microsporidian mitosomes. The SSU rRNA phylogeny places Globulispora into a specific “Enterocytospora-like” clade, part of a large “non-enterocytozoonidae” clade, grouping a heterogenous assemblage of microsporidia infecting almost exclusively insects and crustacea.",Daphnia pulex; Simocephalus vetulus,midgut; gastric ceca epithelium,NA,,
Glugea plecoglossi,"Studies on Glugea Infection of the Ayu, Plecoglossus altivelis—I. A new species of microsporidian parasite of the ayu, Plecoglossus altivelis T. & S., is described and the name Glugea plecoglossi T. sp. is suggested. In a heavy infection of the parasite xenomas develop in large number in various organs, viz., peritoneum, visceral cavity, ovaries, testis, fat body, pyloric caeca, spleen, muscle, liver, heart, gills, iris, etc., and cause serious damage to fish. The xenomas are variable in size, being 0.5-3 mm, rarely as large as 5 mm. Fresh spores of the parasite are elongate or ellipsoidal and are 5.1-6.2 x 2.0-2.5µ, the average of 200 spores being 5.8 x 2.1 Spores fixed in Bouin's solution and stained with Heidenhein's iron hematoxylin are 3.S-4.8 x 1.5-2.0 µ the average of 50 spores being 4.0 X 1.8 µ. Everted filaments are 180 µ at maximum, being 100-150 µ in the majority. The processes of schizogony and sporogony of the parasite studied with artificially infected ayu are in substance the same as those reported by Weissenberg (1968) on Glugea anomala and by Sprague and Yernick (1968) on G. weissenbergu A very small xenoma of 4x8 µ with a single schizont and a single host cell nucleus was found in the lamina propria of the villi of the gut of an ayu killed 5 days after infection. Sporonts in smear preparations of parasite are 3 x 4 µ and each sporont produce two spores. Therefore the parasite is classified into the genus Glugea. Inoculation experiments have shown that Salmo gairdneri is susceptible to the parasite, but. Gasterosteus acelatus microcephalus is unsusceptible. Of about 15 species of Glugea in fish, G. hertwigi has spores similar in size to those of the present Glugea, But the former differs from the latter in the following points. The hosts of G. hertwigi are Osmerus mordax and O. eperlanus and it has been reported by Weissenberg (1968) that Gasterosteus aceleatus is susceptible to G. hertwigi, G. anomala and G. weissenhergi are distinguishable in having smaller spores, 3 x 1.5-2 µ, and larger spores, 6.0-7.0 X 2.5-3.6 µ, respectively, and in having different hosts, the sticklebacks. G, takedai which was found in the rainbow trout in Japan is distinguishable in having smaller spores, 2.8-4.9 x 1.7-2.3 µ, and in not causing hypertrophy of the infected host cells.",Plecoglossus altivelis; Salmo gairdneri,peritoneum; visceral cavity; ovary; testes; fat body; pyloric caeca; spleen; muscles; liver; heart; gills; iris,NA,,
Gurleya dorisae,"LIGHT-MICROSCOPIC AND ULTRASTRUCTURAL-STUDY OF GURLEYA-LEGERI-SENSU MACKINNON (1911) WITH ESTABLISHMENT OF THE NEW SPECIES GURLEYA-DORISAE SP-N (MICROSPORA, GURLEYIDAE). The microsporidium Gurleya dorisae sp. n., a parasite of caddis fly larvae of the species Anabolin nervosa and Micropterna lateralis, is described based on light microscopic and ultrastructural characteristics. All life cycle stages have isolated nuclei. The merogonial reproduction was revealed by small groups of merozoites. The dominant sporogony yields four sporoblasts by rosette-like budding, enclosed in a sporophorous vesicle produced by the sporont. Together with the tetrasporous sporogony production of macrospores in 3-, 2- or 1-sporous vesicles occurs. Spores are pyriform, with pointed anterior pole. Fixed tetraspores from A. nervosa measure 3.0-3.5 x 4.6-5.2 mu m. The greatest fixed macrospores observed were 10.4 mu m long. The spore wall has the normal three subdivisions, including a layered, ca 43 nm wide exospore, where the intermediate layer is a double-layer The polaroplast has two lamellar parts, with the anterior lamellae more closely packed. The polar filament is isofilar, with 20-25 coils in tetraspores, up to 34 coils in macrospores. The coils have approximately identical diameter in tetraspores and macrospores. Granular and tubular inclusions of two kinds appear in the episporontal space. Wide, septate tubules of exospore nature disappear when the spores mature. Narrow, thin-walled tubules persist. Macrospores often exhibit aberrant cytology. In A. nervosa the adipose tissue is more or less completely invaded by the parasite. The fat body lobes are not transformed into syncytia. Defense reactions were not observed in this host. Infection in M. lateralis was visible as local herds, and nodule formation with incorporation of dark pigment was observed. The species is compared to previously described microsporidia of caddis flies and the generic position is discussed. It is obviously identical to the microsporidium Mackinnon (1911) reported under the name Gurleya legeri Hesse, 1903.",Anabolin nervosa; Micropterna lateralis,adipose tissue (of Anabolin nervosa),NA,,
Heterosporis sutherlandae,"Description of the Microsporidian Parasite, Heterosporis sutherlandae n. sp., Infecting Fish in the Great Lakes Region, USA. Heterosporosis is an increasingly important microsporidian disease worldwide, impacting wild and farmed raised fishes in both marine and freshwater environments. A previously undescribed species (Heterosporis sp.), with widespread distribution in the Great Lakes region, was the subject of this study. Three angler-caught fish were submitted to the Minnesota Veterinary Diagnostic Laboratory from 2009–2010 with lesions caused by intracellular proliferation of parasitic spores, resulting in destruction and eventual widespread necrosis of the host skeletal muscles. Mature ovoid (5.8 x 3.5μm) spores of a microsporidian parasite, consistent with the genus Heterosporis, were observed by light and electron microscopy. Molecular identification was performed using primer walking to obtain a near-complete rRNA gene sequence (~3,600 bp). A unique species of Heterosporis was identified, demonstrating less than 96% sequence identity to other published Heterosporis sp. on the basis of partial rRNA gene sequence analysis. Heterosporis sutherlandae n. sp. (formerly Heterosporis sp.) was identified in yellow perch (Perca flavescens), northern pike (Esox lucius) and walleye (Sander vitreus) from inland lakes in Minnesota and Wisconsin. Previous research suggests this species may be even more widespread in the Great Lakes region and should be reexamined using molecular techniques to better understand the distribution of this novel species.",Perca flavescens; Esox lucius; Sander vitreus,Skeletal muscles; mesenteric tissues,NA,,
Intrapredatorus barri,"Development of a new microsporidian parasite, Intrapredatorus barri n.g., n.sp. (Microsporida: Amblyosporidae) from the predacious mosquito Culex fuscanus Wiedemann (Diptera: Culicidae). A microsporidium infecting the predacious mosquito Culex fuscanus Wiedemann, collected from Liu-Chiu Islet of Taiwan, was shown to be heterosporous. Two different types of haploid spores, one oval and the other lanceolate, were concurrently produced in the infected larvae. Merogony preceding the sequence leading to oval meiospores ended with the formation of a binucleate sporont with similar ultrastructural features to meronts. Synaptonemal complexes, suggesting that meiosis was involved during this sporogony, appeared in both nuclei of the sporont. The polar filament in the mature meiospore was anisofilar. Nine coiled turns of the polar filament were shown turning about the posterior portion of the spore. The polaroplast was composed of an anterior lamellate part and a posterior vesicular part. The anchoring disc was at the top of the straight portion of the polar filament. The meront of the lanceolate spore cannot be confirmed in this study. Two uninucleate lanceolate spores were eventually formed via nuclear dissociation. The polaroplast of the lanceolate spore was divided into an anterior multi-chambered part and a posterior of reticulate part. The polar filament was of the isofilar type, consisting of at least 5-6 coils. This parasite was extremely similar to the species Amblyospora trinus; in spore shape and development; but different in spore size and their hosts. Although it was similar to species of Amblyospora in host/parasite relations, we would rather assign this parasite to a newly established genus, i.e. Intrapredatorus and the name Intrapredatorus barri n.g., n.sp. was given for this microsporidium. The characteristics of the new genus was discussed in this article. However, its transmission routes remained uncertain thus far.",Culex fuscanus; Culex halifaxi,fat body,NA,,
Johenrea locustae,"Johenrea locustae n.g., n.sp. (Microspora: Glugeidae): A Pathogen of Migratory Locusts (Orthoptera: Acrididae: Oedipodinae) from Madagascar. A new microsporidium was isolated from the migratory locust, Locusta migratoria capito, collected in Madagascar. This new species was found to be haplokaryotic throughout development, produced polysporophorous vesicles of parasite origin, and there was conspicuous xenoma formation. The xenoma was a complex structure composed primarily of fat body cells. The wall of the xenoma was bound by a basement membrane beneath which was a region of collagen-like fibers. Multiplication of the parasite occurred by way of both a schizogonic phase and by a sporulation phase. Schizonts divided either directly or with the intervention of paucinucleate plasmodia into additional schizonts. At some point, plasmodia developed (with an increase in size and number of nuclei) into sporogonial plasmodia with typically 16 nuclei. Sporogonial plasmodia elaborated an interfacial envelope within which they underwent sporogony. Sporophorous vesicles normally contained 16 spores but also 8 and rarely 32 spores were formed. Spores were elongate ovoid (sometimes slightly curved) and measured 8.3 by 3.8 μm (fresh) and 6.9 by 4.2 μm (fixed). Based on the development of the microsporidium and the features of the xenoparasitic complex, a new species and genus Johenrea locustae n.g., n.sp. is proposed.",Locusta migratoria capito; Locusta migratoria migratorioides; Schistocerca gregaria,fat body; adipose tissue; hemocoel; body wall; digestive tract (primary infection site),NA,,
Kneallhazia solenopsae,"Light and electron microscope study of Thelohania solenopsae n. sp. (Microsporida: Protozoa) in the red imported fire ant, Solenopsis invicta. A new species of Microsporida, Thelohania solenopsae, is described from the red imported fire ant, Solenopsis invicta. The Thelohania infections are localized in the fat body of workers. Meronts causing infections of progeny are found in the ovaries of queens. Spores occur only in adult ants and only vegetative stages are present in larvae and pupae. Both uninucleate octospores (eight spores within a pansporoblast membrane) and binucleate free spores (spores developing in isolation) are formed.",Solenopsis invicta; Solenopsis richteri,fat body; ovary (of queens),NA,,
Loma salmonae,"A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). Loma embiotocia n. sp. is described from the gills of shiner perch (Cymatogaster aggregata) from waters off Vancouver Island, British Columbia, Canada. Highest prevalence at a site was 15% and greatest intensity was 583 xenomas per fish. Xenomas averaged 0.13 mm in diameter (0.06-0.16 mm) and contained ovoid spores 4.8 x 2.6 (4.0-5.0 x 2.0-3.0) µm. Sporogonic stages were dispersed throughout the xenomas. The xenoma wall was smooth lacking invaginations into the cytoplasm; sporoblasts were not highly vacuolated, and the sporophorous vesicle formed before sporogony. In addition to differences in host and geographic location the new species is distinguished from Loma salmonae, the only other species in the genus known from British Columbia, by its internal transcribed spacer (ITS) ribosomal DNA sequence.",Oncorhynchus mykiss; Oncorhynchus kisutch; Oncorhynchus tshawytscha; Salvelinus fontinalis; Salmo trutta,gills; spleen; heart,NA,,
Lotmaria passim,"Characterization of Two Species of Trypanosomatidae from the Honey Bee Apis mellifera: Crithidia mellificae Langridge and McGhee, and Lotmaria passim n. gen., n. sp.. Trypanosomatids are increasingly recognized as prevalent in European honey bees (Apis mellifera) and by default are attributed to one recognized species, Crithidia mellificae Langridge and McGhee, 1967. We provide reference genetic and ultrastructural data for type isolates of C. mellificae (ATCC 30254 and 30862) in comparison with two recent isolates from A. mellifera (BRL and SF). Phylogenetics unambiguously identify strains BRL/SF as a novel taxonomic unit distinct from C. mellificae strains 30254/30862 and assign all four strains as lineages of a novel clade within the subfamily Leishmaniinae. In vivo analyses show strains BRL/SF preferably colonize the hindgut, lining the lumen as adherent spheroids in a manner identical to previous descriptions from C. mellificae. Microscopy images show motile forms of C. mellificae are distinct from strains BRL/SF. We propose the binomial Lotmaria passim n. gen., n. sp. for this previously undescribed taxon. Analyses of new and previously accessioned genetic data show C. mellificae is still extant in bee populations, however, L. passim n. gen., n. sp. is currently the predominant trypanosomatid in A. mellifera globally. Our findings require that previous reports of C. mellificae be reconsidered and that subsequent trypanosomatid species designations from Hymenoptera provide genetic support.",Apis mellifera; Apis cerana,ileum,NA,,
Microsporidium rhabdophilia,"Microsporidium rhabdophilia n. sp. from rodlet cells of salmonid fishes. A microsporidian parasite, Microsporidium rhabdophilia n. sp. is described from rodlet cells of salmonid fishes. Chinook salmon, Oncorhynchus tshawytscha, coho salmon, Oncorhynchus kisutch, steelhead rainbow trout, Salmo gairdnerii gairdnerii, and various strains of domesticated rainbow trout were found infected. In living wet mount phase‐contrast observations of various tissues, 16 mature spores could be seen infecting the nucleus of rodlet cells. The number of spores infecting each nucleus generally numbered 16 and spores were not found in any cell or organelle other than the nucleus of the rodlet cell. All observations were limited to California hatchery‐reared fish.",Oncorhynchus tshawtscha; Oncorhynchus kisutch; Salmo gairdnerii gairdnerii,rodlet cells,NA,,
Microsporidium synapturae,"First report of microsporidian infections in solefishes from Senegal coast (West Africa). Three microsporidian species were isolated from solefishes from Senegal. These microsporidia were: Microsporidium dicologoglossae sp.n in Dicologoglossa cuneata, Microsporidium synapturae sp.n in Synaptura cadenati and Synaptura lusitanica, and Microsporidium vanstraeleniae sp. in Vanstraelenia chirophthalmus. All these species infected the liver of their hosts and induced formation of xenomas.",Synaptura cadenati; Synaptura lusitanica,liver (1;2),NA,,
Mockfordia xanthocaeciliae,"New microsporidia parasitizing bark lice (Insecta: Psocoptera). Abstract Two species of bark lice, Xanthocaecilius sommermanae Mockford and Polypsocus corruptus Hagen, collected in a canopy Malaise trap placed in Great Smoky Mountains National Park as part of a survey of the park’s fauna, were found to be infected with microsporidia. Diagnosis was originally based on light microscopy, and was confirmed by PCR amplification and electron microscopy. This is the first record of microsporidia infection in the insect order Psocoptera. Four morphological spore types corresponded to four original SSUrDNA sequences (Genbank accession no. FJ865221-24), suggesting infection with four microsporidia species. Two of those species were examined by electron microscopy. We describe here one new genus and two new species based on morphological and sequence data: Antonospora psocopterae sp. n. with elongated diplokaryotic spores, 4.4±0.05×1.9±0.03μm and Mockfordia xanthocaeciliae gen. n. sp. n. with ovocylindrical monokaryotic spores, 2.5±0.10×1.4±0.02μm. A. psocopterae displayed high sequence (95%) and structural similarity with Antonospora scoticae, fell within a well supported dichotomy with A. scoticae inside the Antonospora–Paranosema clade in phylogenetic analyses by NJ, PS and ML. M. xanthocaeciliae did not exhibit much sequence or structural similarity with any of known microsporidia species, except Encephalitozoon spp. M. xanthocaeciliae fell within one clade with Encephalitozoon spp. in phylogenies and shared with encephalitozoons structural resemblance and about 80% of SSUrDNA sequence identity. The other two species were not described and provisionally were placed to the collective genus Microsporidium as Microsporidium sp. 1 and Microsporidium sp. 4 from bark lice because of insufficient morphological data. The finding that samples fixed and stored for months in propylene glycol (“antifreeze”) are good enough for DNA sequence analysis and can be used for morphological analyses (if no better fixation alternatives are available), is promising for future surveys for microsporidia.",Xanthocaecilius sommermanae; Polypsocus corruptus,Muscles,NA,,
Myosporidium ladogensis,"Pleistophora ladogensis sp. n., a microsporidian (Protozoa, Microsporidia) from the musculature of the burbot, Lota lota, and of the smelt, Osmerus eperlanus eperlanus ladogensis. The parasite develops inside the fibres of the cross-striated musculature. On the histologic sections of the affected tissue most young stages of P. ladogensis are represented by 2--6 nucleic cells 5--6 mu in size. Mature pansporoblasts have a thick and solid membrane. Their average size is 43 (18--60) mu. The number of spores in pansporoblasts is over 16. Live spores are egg-shaped and are 5.4 (5.0--5.8).2.9 (2.7--3.3) mu in size. The length of the polar filament is 100 to 180 mu.",Lota lota; Osmerus eperlanus,muscles,NA,,
Nematocida ausubeli,"A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes. Microsporidia are fungi-related intracellular pathogens that may infect virtually all animals, but are poorly understood. The nematode Caenorhabditis elegans has recently become a model host for studying microsporidia through the identification of its natural microsporidian pathogen Nematocida parisii. However, it was unclear how widespread and diverse microsporidia infections are in C. elegans or other related nematodes in the wild. Here we describe the isolation and culture of 47 nematodes with microsporidian infections. N. parisii is found to be the most common microsporidia infecting C. elegans in the wild. In addition, we further describe and name six new species in the Nematocida genus. Our sampling and phylogenetic analysis further identify two subclades that are genetically distinct from Nematocida, and we name them Enteropsectra and Pancytospora. Interestingly, unlike Nematocida, these two genera belong to the main clade of microsporidia that includes human pathogens. All of these microsporidia are horizontally transmitted and most specifically infect intestinal cells, except Pancytospora epiphaga that replicates mostly in the epidermis of its Caenorhabditis host. At the subcellular level in the infected host cell, spores of the novel genus Enteropsectra show a characteristic apical distribution and exit via budding off of the plasma membrane, instead of exiting via exocytosis as spores of Nematocida. Host specificity is broad for some microsporidia, narrow for others: indeed, some microsporidia can infect Oscheius tipulae but not its sister species Oscheius sp. 3, and conversely some microsporidia found infecting Oscheius sp. 3 do not infect O. tipulae. We also show that N. ausubeli fails to strongly induce in C. elegans the transcription of genes that are induced by other Nematocida species, suggesting it has evolved mechanisms to prevent induction of this host response. Altogether, these newly isolated species illustrate the diversity and ubiquity of microsporidian infections in nematodes, and provide a rich resource to investigate host-parasite coevolution in tractable nematode hosts.",Caenorhabditis briggsae; Caenorhabditis elegans; Caenorhabditis remanei,intestinal cells,NA,,
Nematocida homosporus,"A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes. Microsporidia are fungi-related intracellular pathogens that may infect virtually all animals, but are poorly understood. The nematode Caenorhabditis elegans has recently become a model host for studying microsporidia through the identification of its natural microsporidian pathogen Nematocida parisii. However, it was unclear how widespread and diverse microsporidia infections are in C. elegans or other related nematodes in the wild. Here we describe the isolation and culture of 47 nematodes with microsporidian infections. N. parisii is found to be the most common microsporidia infecting C. elegans in the wild. In addition, we further describe and name six new species in the Nematocida genus. Our sampling and phylogenetic analysis further identify two subclades that are genetically distinct from Nematocida, and we name them Enteropsectra and Pancytospora. Interestingly, unlike Nematocida, these two genera belong to the main clade of microsporidia that includes human pathogens. All of these microsporidia are horizontally transmitted and most specifically infect intestinal cells, except Pancytospora epiphaga that replicates mostly in the epidermis of its Caenorhabditis host. At the subcellular level in the infected host cell, spores of the novel genus Enteropsectra show a characteristic apical distribution and exit via budding off of the plasma membrane, instead of exiting via exocytosis as spores of Nematocida. Host specificity is broad for some microsporidia, narrow for others: indeed, some microsporidia can infect Oscheius tipulae but not its sister species Oscheius sp. 3, and conversely some microsporidia found infecting Oscheius sp. 3 do not infect O. tipulae. We also show that N. ausubeli fails to strongly induce in C. elegans the transcription of genes that are induced by other Nematocida species, suggesting it has evolved mechanisms to prevent induction of this host response. Altogether, these newly isolated species illustrate the diversity and ubiquity of microsporidian infections in nematodes, and provide a rich resource to investigate host-parasite coevolution in tractable nematode hosts.",Oscheius tipulae; Rhabditella typhae,intestinal cells,NA,,
Nematocida major,"A Large Collection of Novel Nematode-Infecting Microsporidia and Their Diverse Interactions with Caenorhabditis elegans and Other Related Nematodes. Microsporidia are fungi-related intracellular pathogens that may infect virtually all animals, but are poorly understood. The nematode Caenorhabditis elegans has recently become a model host for studying microsporidia through the identification of its natural microsporidian pathogen Nematocida parisii. However, it was unclear how widespread and diverse microsporidia infections are in C. elegans or other related nematodes in the wild. Here we describe the isolation and culture of 47 nematodes with microsporidian infections. N. parisii is found to be the most common microsporidia infecting C. elegans in the wild. In addition, we further describe and name six new species in the Nematocida genus. Our sampling and phylogenetic analysis further identify two subclades that are genetically distinct from Nematocida, and we name them Enteropsectra and Pancytospora. Interestingly, unlike Nematocida, these two genera belong to the main clade of microsporidia that includes human pathogens. All of these microsporidia are horizontally transmitted and most specifically infect intestinal cells, except Pancytospora epiphaga that replicates mostly in the epidermis of its Caenorhabditis host. At the subcellular level in the infected host cell, spores of the novel genus Enteropsectra show a characteristic apical distribution and exit via budding off of the plasma membrane, instead of exiting via exocytosis as spores of Nematocida. Host specificity is broad for some microsporidia, narrow for others: indeed, some microsporidia can infect Oscheius tipulae but not its sister species Oscheius sp. 3, and conversely some microsporidia found infecting Oscheius sp. 3 do not infect O. tipulae. We also show that N. ausubeli fails to strongly induce in C. elegans the transcription of genes that are induced by other Nematocida species, suggesting it has evolved mechanisms to prevent induction of this host response. Altogether, these newly isolated species illustrate the diversity and ubiquity of microsporidian infections in nematodes, and provide a rich resource to investigate host-parasite coevolution in tractable nematode hosts.",Caenorhabditis briggsae; Caenorhabditis tropicali,intestinal cells,NA,,
Nematocida parisii,"Microsporidia are natural intracellular parasites of the nematode Caenorhabditis elegans. For decades the soil nematode Caenorhabditis elegans has been an important model system for biology, but little is known about its natural ecology. Recently, C. elegans has become the focus of studies of innate immunity and several pathogens have been shown to cause lethal intestinal infections in C. elegans. However none of these pathogens has been shown to invade nematode intestinal cells, and no pathogen has been isolated from wild-caught C. elegans. Here we describe an intracellular pathogen isolated from wild-caught C. elegans that we show is a new species of microsporidia. Microsporidia comprise a large class of eukaryotic intracellular parasites that are medically and agriculturally important, but poorly understood. We show that microsporidian infection of the C. elegans intestine proceeds through distinct stages and is transmitted horizontally. Disruption of a conserved cytoskeletal structure in the intestine called the terminal web correlates with the release of microsporidian spores from infected cells, and appears to be part of a novel mechanism by which intracellular pathogens exit from infected cells. Unlike in bacterial intestinal infections, the p38 MAPK and insulin/insulin-like growth factor (IGF) signaling pathways do not appear to play substantial roles in resistance to microsporidian infection in C. elegans. We found microsporidia in multiple wild-caught isolates of Caenorhabditis nematodes from diverse geographic locations. These results indicate that microsporidia are common parasites of C. elegans in the wild. In addition, the interaction between C. elegans and its natural microsporidian parasites provides a system in which to dissect intracellular intestinal infection in vivo and insight into the diversity of pathogenic mechanisms used by intracellular microbes.",Caenorhabditis elegans; Caenorhabditis briggsae,Intestine,NA,,
Nolleria pulicis,"Nolleria pulicis N. Gen., N. Sp. (Microsporida: Chytridiopsidae), a Microsporidian Parasite of the Cat Flea, Ctenocephalides felis (Siphonaptera: Pulicidae). A new species of microsporidium, Nolleria pulicis, is described and named here from the cat flea, Ctenocephalides felis. The genus Nolleria is created and placed within the family Chytridiopsidae. The family is slightly modified to accommodate certain features of intracellular development seen in N. pulicis, which is otherwise very similar to other species in the family Chytridiopsidae. Sporulation is described from ultrastructural analysis of infected midgut epithelial cells of adult C. felis. The term “multiple division by vacuolation” is proposed for describing sporogony as it occurs in this species and certain related species of microsporidia. The probable mode of transmission and apparent absence of merogony are discussed",Ctenocephalides felis; Pulex simulans,midgut epithelial cells,NA,,
Nosema acari,"Eight New Microsporidian Parasites of Moss-Mites (Oribatei, Acarina) in Forest Soils. Four new species of the genus Pleistophora (P. oribatei, P. cephei, P. platynothri, and P. dindali), one of Thelohania (Th. microtritiae), and three of Nosema (N. steganacari, N. acari, and N. führeri) are discovered and described from mossmites (Oribatei, Acarina) in forest soil samples from Lower Saxony and Hessen (Federal Republic of Germany). Acht neue Mikrosporidien‐Arten aus Hornmilben (Oribatei, Acarina) aus Waldböden Im Rahmen einer vergleichenden Bodentieruntersuchung wurden in verschiedenen Waldstandorten Niedersachsens und Hessens 62 Hornmilbenarten festgestellt, von denen 12 Arten mit Mikrosporidien infiziert waren. Diese gehören acht verschiedenen Species an, die hier als neue Arten beschrieben werden: Pleistophora oribatei n. sp. in verschiedenen Hornmilbenarten; P. cephei n. sp. in Cepheus dentatus Michael (Cepheidae); P. platynothri n. sp. in Platynothrus peltifer C. L. Koch (Camisiidae); P. dindali n. sp. in Carabodes coriaceus C. L. Koch (Carabodidae); Thelohania microtritiae n. sp. in Microtritia minima Berlese (Euphtiracaridae); Nosema steganacari n. sp. in Steganacarus striculus C. L. Koch (Phtiracaridae); N. acari n. sp. in Damaeus onustus C. L. Koch and D. clavipes Hermann (Damaeidae), und N. führeri n. sp. in Phtiracarus globosus C. L. Koch (Phtiracaridae). Der nachgewiesene Mikrosporidienbefall betrug bei den meisten Wirtsarten 2–5%, nur bei Rhysotritia duplicata Grandjean (Euphtiracaridae) lag er bei 15% und M. minima 10%.",Damaeus onustus; Damaeus clavipes,caecum; lymphocytes,NA,,
