species,title_abstract,species_corrected,hosts_corrected,infection_site,infection_site_parenthesized,infection_site_not_in_text,parenthesized_not_in_text,infection_site_corrected,parenthesized_corrected
Kinorhynchospora japonica,"OF KINORHYNCHUS-YUSHINI (HOMALORHAGIDA, PYCHOPHYIDAE) FROM THE SEA OF JAPAN. A new species and genus of microsporidia Kinorhynchospora japonica are described from the mid-intestine of Kinorhynchus yushini from the Sea of Japan. The transmission electron microscopy was used to describe the stages of meront, pansporoblast, rozette-shaped sporont, sporoblast and mature spores. Two types of mature spores have been isolated. The similarity and differences as compared with genera Nosemoides, Perezia, and Encephalitozoon are discussed. The genus described is the closest to family Tetramicridae but ty the set of characters does not correspond to the diagnosis of the latter. The taxonomic position of the microsporidia described is still not known. This finding is the first of free-living Nemathelminthes.",Kinorhynchospora japonica,Kinorhynchus yushini,mid-intestinal epithelium,NA,mid-intestinal epithelium,NA,Mid-intestine,NA
Kneallhazia solenopsae (1),"Light and electron microscope study of Thelohania solenopsae n. sp. (Microsporida: Protozoa) in the red imported fire ant, Solenopsis invicta. A new species of Microsporida, Thelohania solenopsae, is described from the red imported fire ant, Solenopsis invicta. The Thelohania infections are localized in the fat body of workers. Meronts causing infections of progeny are found in the ovaries of queens. Spores occur only in adult ants and only vegetative stages are present in larvae and pupae. Both uninucleate octospores (eight spores within a pansporoblast membrane) and binucleate free spores (spores developing in isolation) are formed.",Thelohania solenopsae,Solenopsis invicta,fat body; ovary,NA,ovary,NA,ovaries,NA
Lanatospora tubulifera,"Description of Lanatospora tubulifera sp. n. (Microspora, Tuzetiidae) with Emended Diagnosis and New Systematic Position for the Genus Lanatospora. Lanatospora tubulifera, a new microsporidian parasite of the ostracod Acanthocyclops vernalis is described based on light microscopic and ultrastructural characteristics. The diagnosis of the genus is emended and a new family position is suggested. The microsporidium has isolated nuclei at all stages of the life cycle. Merogony gives rise to rounded plasmodia with at least four nuclei. Sporogony produces at least 8 sporoblasts by rosette-like budding. Spores are pyriform, uninucleate and measure 3.5–4 × 2 µm when fixed and stained. The exospore consists of four layers: an electron dense layer, a double membrane-like layer, a moderately dense layer and a thin, electron dense surface layer. The polar filament is isofilar and arranged in 7–9 coils close to the spore wall in the posterior half of the spore. The polaroplast is tripartite, consisting of two lamellar parts and a posterior tubular part. The spores are surrounded by individual sporophorous vesicles, connected to the exospore by tubuli",Lanatospora tubulifera,Acanthocyclops vernalis,connective tissue,between muscle strands and beneath hypodermis,connective tissue,between muscle strands and beneath hypodermis,NA,NA
Larssonia hiberna,"Microsporidia of Branchiopods from the Northern regions of Ukraine. Four species of Microsporidia parasitizing Branchiopod hosts are described based on the light and ultrastructural data. Microsporidium sp. from the body cavity of Lepidurus apus, produced ovoid spores 3.5±0.4×2.2±0.3 μm in size. Mononuclear (asymmetrical spores of Larssonia hiberna sp. n., measured 3.8±0.1×2.0±0.2 μm, were found in fat tissues and hemocoel of Daphnia magna. Filamentous episporal surfacing inverted polaroplast and 8-9 coiled isofilar polar filament are characteristic features of this species. Berwaldia singularis Larsson and Microsporidium stagnalis sp. n. from D. pulex are presented. Ellipsoidal spores of M. stagnalis, 4.8±0.4×2.4±0.3 μm in sizes, formed a two-layered exospore, tripartite lamellar and tubular polaroplast, and the isofilar polar filament coiled in a two-layer spiral of 14 rings.",Larssonia hiberna,Daphnia magna,adipose tissue; hemocoel,NA,adipose tissue,NA,fat tissues,NA
Larssoniella duplicati,"Larssoniella duplicati n.sp. (Microsporidia, Unikaryonidae), a newly described pathogen infecting the double-spined spruce bark beetle, Ips duplicatus (Coleoptera, Scolytidae) in the Czech Republic. Larssoniella duplicati n.sp. infects the midgut muscularis, the Malpighian tubules, and the ovaries of adult Ips duplicatus (Sahlb.) in the Czech Republic. The microsporidian attacks up to 50% of the population. Oval spores of two sizes, 3–3.5×1.5–2 and 2–2.5×1.5 μm have the polar filament coiled in 6/7 coils, representing primary and environmental spores, respectively. In early sporogony the young spores produce long electron dense threads and tubules of secretions, which remain fixed around the spore and avoid their free release during dissection of infected hosts. The microsporidian was not found in associated bark beetles such as Ips typographus (L.), or I. amitinus (Eichh.) and others.",Larssoniella duplicati,Ips duplicatus,midgut; muscle; Malphigian; ovarian,NA,muscle; Malphigian; ovarian,NA,Muscularis; Malpighian tubules; ovaries,NA
Larssoniella resinellae,"A light and electron microscopic study of Larssoniella resinellae n. gen., n. sp. (Microspora, Unikaryonidae), a Parasite of Petrova resinella (Lepidoptera, Tortricidae) in Central Europe. Larssoniella n. gen. (Microspora, Unikaryonidae) is characterized by uninucleate stages with a tuft of tubules arising in the cuticle of sporoblasts and in the posterior pole of the young spore in its exospore. L resinellae n. sp., the type species, has sporoblasts and spores with distinct tubular tufts. Mature spores are smooth, tubular (4.5-5×1.7-2 urn), uninucleate, with polar filament in 10/11 coils. It infects the silk glands, Malpighian tubules, the fat body and gonads of larvae and adults of the Pine resin gall moth, Petrova resinella.",Larssoniella resinellae,Petrova resinella,silk glands; Malpighian tubules; fat body; gonads; egg,NA,egg,NA,NA,NA
Liebermannia covasacrae,"Morphology and taxonomy of the microsporidium Liebermannia covasacrae n. sp. from the grasshopper Covasacris pallidinota (Orthoptera, Acrididae). Abstract During a survey for grasshopper pathogens in Argentina in 2005–2006, individual Covasacris pallidinota from halophylous grasslands in Laprida, Buenos Aires province were found to be infected with a microsporidium. Infection was restricted to the salivary gland epithelial cells. The microsporidium produced ovocylindrical spores averaging 2.6±0.28×1.4±0.12μm (range 2.2–3.4×1.1–1.7μm), which resembled in size and shape the spores of Liebermannia patagonica and L. dichroplusae, two recently described species that also parasitize Argentine grasshoppers. The life cycle of the microsporidium included the formation of polynucleate, diplokaryotic, moniliform, merogonial plasmodia wrapped in flattened cisterns of the host endoplasmic reticulum (ER). Plasmodia divided to produce diplokaryotic cells. The latter underwent elongation, dissociation of diplokarya counterparts, vacuolization, dismantling of the host ER envelope, and deposition of electron-dense material outside the plasma membrane. The resultant binucleate sporogonial plasmodia divided into two uninucleate sporoblasts, which eventually transformed into spores. Uninucleate spores contained a lamellar polaroplast, embraced by an elongated polar sac, anchoring disc, 3–5 polar filament coils, and a cluster of anastomizing tubules (sporoblast trans-Golgi, posterosome) at the posterior end. Sequence similarity of the SSU rDNA of the newly discovered microsporidium (Genbank accession no. Download EU709818) to L. patagonica and L. dichroplusae was 99% and 97%, respectively, suggesting that the three species belong to one genus. All three species fell into one clade in SSU rDNA-based phylogenetic trees produced by neighbor joining, maximum parsimony, and maximum likelihood analyses with 100% statistical support. We assign the name Liebermannia covasacrae to this microsporidium. It can be easily differentiated from both congeners by host species, tissue tropism, type of sporogony, and several features of morphology. Comparison of the three Liebermannia spp. demonstrates that the nuclear phase (dikaryotic versus monokaryotic spores) and type of sporogony (polysporous versus disporous) may vary in closely related species.",Liebermannia covasacrae,Covasacris pallidinota,epithelium; salivary gland,NA,epithelium,NA,NA,NA
Liebermannia patagonica,"Development, ultrastructure, natural occurrence, and molecular characterization of Liebermannia patagonica n. g., n. sp., a microsporidian parasite of the grasshopper Tristira magellanica (Orthoptera: Tristiridae). A new microsporidium, Liebermannia patagonica n. gen., n. sp., is described from midgut and gastric caecum epithelial cells of Tristira magellanica, an apterous grasshopper species of southern Patagonia, Argentina. L. patagonica is diplokaryotic, apansporoblastic, homosporous, and polysporoblastic. Transitional (from merogony to sporogony) stages and sporonts of L. patagonica were surrounded by host rough endoplasmic reticulum. The ovocylindrical spores measured 2.9+/-0.09x1.2+/-0.04μm (fresh, n=50), and they had an isofilar polar filament of only three coils and a cluster of tubules instead of a classical posterior vacuole. Prevalence was high (up to 80.6%) at the type locality for the four years sampled. Maximum likelihood, neighbor joining, and maximum parsimony analyses of the small subunit rDNA all placed L. patagonica (Accession No. DQ 239917) in one clade with Orthosomella operophterae.",Liebermannia patagonica,Tristira magellanica,epithelium,NA,epithelium,NA,Midgut; gastric caecum,NA
Loma boopsi,"On the Cytology and Development of Loma boopsi n. sp. (Microspora, Glugeidae), Parasite of Boops boops (Pisces, Teleostei, Sparidae) from the Coasts of Senegal. Loma boopsi n. sp. was found in the liver, intestine and pyloric caeca of Boops boops inhabiting the coasts of Senegal. Its ultrastructural characteristics were elucidated. All developmental stages had isolated nuclei and occupied the xenoma without any particular stratification. The merogonial stages were in direct contact with the host-cell cytoplasm. The merogonial plasmodium divided by plasmotomy. Sporogony occurred in sporophorous vesicles and the sporogonial plasmodium divided by plasmotomy. Two morphological types of spores were produced in the same sporophorous vesicle: ovoid spores measuring 3.70 × 2.40 µm and elongate, slightly incurvated spores which were 4.80 × 2.40 µm. They had a thick envelope (about 70 nm), a polaroplast with an anterior lamellar part and a posterior vesicular part, an isofilar polar filament displaying 12–14 (ovoid spores) or 16–18 (elongate spores) spiral turns in a single row of coils and a large posterior vacuole",Loma boopsi,Boops boops,liver; intestinal epithelium; pyloric caeca,NA,intestinal epithelium,NA,intestine,NA
Loma camerounensis,"Loma camerounensis sp. nov. (Protozoa: Microsporida) a parasite ofOreochromis niloticus Linnaeus, 1757 (Teleost: Cichlidae) in fish-rearing ponds in Melen, Yaounde, Cameroon. A new microsporidian, Loma camerounensis, was found in the Cichlidae Oreochromis niloticus from the Melen fish-rearing station in Yaoundé, Cameroon. Xenomas were located in the gut from the oesophagus to the intestine, but preferentially in the duodenum. Dimensions of the fresh spores were 3.96×2.16 μm. The ultrastructural study indicated the following characteristics: parasite stages arranged in a random, unstratified manner in the xenoma; merogony by multiple fission; sporogonic stages isolated within a sporophorous vesicle containing several sporoblasts and polysporoblastic sporogony. Ultimately the spores appeared to be isolated in a single vesicle, but this was a secondary phenomenon induced by the intervention of tubules that resolved in partitions of the initial sporophorous vesicle.",Loma camerounensis,Oreochromis niloticus,oesophagus; intestine; sub-epithelial gut connective tissue,NA,sub-epithelial gut connective tissue,NA,duodenum,NA
Loma embiotocia,"A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). Loma embiotocia n. sp. is described from the gills of shiner perch (Cymatogaster aggregata) from waters off Vancouver Island, British Columbia, Canada. Highest prevalence at a site was 15% and greatest intensity was 583 xenomas per fish. Xenomas averaged 0.13 mm in diameter (0.06-0.16 mm) and contained ovoid spores 4.8 x 2.6 (4.0-5.0 x 2.0-3.0) µm. Sporogonic stages were dispersed throughout the xenomas. The xenoma wall was smooth lacking invaginations into the cytoplasm; sporoblasts were not highly vacuolated, and the sporophorous vesicle formed before sporogony. In addition to differences in host and geographic location the new species is distinguished from Loma salmonae, the only other species in the genus known from British Columbia, by its internal transcribed spacer (ITS) ribosomal DNA sequence.",Loma embiotocia,Cymatogaster aggregata,secondary lamellae of gills,NA,secondary lamellae of gills,NA,gills,NA
Loma kenti,"Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. ABSTRACT. Five new species of Loma were described from five Pacific fishes using light-microscopic and ultrastructural features along with phylogenetic analysis of the gene sequences of ribosomal RNA (rRNA) and elongation factor 1-alpha. Morphological data revealed both qualitative and quantitative differences in developmental stages and timing, vesicles, xenoma features, and spore sizes with statistical support that differentiated Loma pacificodae n. sp. in Pacific cod, Loma wallae n. sp. in walleye pollock, Loma kenti n. sp. in Pacific tomcod, Loma lingcodae n. sp. in lingcod, and Loma richardi n. sp. in sablefish from each other and other species in the genus. Phylogenetic analyses combined with monophyly tests supported species designations, but with low resolution in two cases perhaps due to rRNA paralogs or recent speciation. Loma branchialis in haddock was shown to be separate from Loma morhua in Atlantic cod, thereby making L. morhua, and not L. branchialis, the type species. A species from brook trout was shown to be a separate species from Loma salmonae, not a variant strain selected in the laboratory. By comparison with gadid host phylogeny, these Loma species appear to have coevolved with their hosts, first colonizing the Pacific basin about 12 million years ago.",Loma kenti,Pacific tomcod,Primarily gills; secondarily in gonads; spleen; heart; gallbladder; liver; kidney,NA,Primarily gills; secondarily in gonads; spleen; heart; gallbladder; liver; kidney,NA,NA,NA
Loma lingcodae,"Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. ABSTRACT. Five new species of Loma were described from five Pacific fishes using light-microscopic and ultrastructural features along with phylogenetic analysis of the gene sequences of ribosomal RNA (rRNA) and elongation factor 1-alpha. Morphological data revealed both qualitative and quantitative differences in developmental stages and timing, vesicles, xenoma features, and spore sizes with statistical support that differentiated Loma pacificodae n. sp. in Pacific cod, Loma wallae n. sp. in walleye pollock, Loma kenti n. sp. in Pacific tomcod, Loma lingcodae n. sp. in lingcod, and Loma richardi n. sp. in sablefish from each other and other species in the genus. Phylogenetic analyses combined with monophyly tests supported species designations, but with low resolution in two cases perhaps due to rRNA paralogs or recent speciation. Loma branchialis in haddock was shown to be separate from Loma morhua in Atlantic cod, thereby making L. morhua, and not L. branchialis, the type species. A species from brook trout was shown to be a separate species from Loma salmonae, not a variant strain selected in the laboratory. By comparison with gadid host phylogeny, these Loma species appear to have coevolved with their hosts, first colonizing the Pacific basin about 12 million years ago.",Loma lingcodae,lingcod,Primarily gills; secondarily in spleen; heart; liver; gallbladder; kidney; and especially gonads.,NA,Primarily gills; secondarily in spleen; heart; liver; gallbladder; kidney; and especially gonads.,NA,NA,NA
Loma myrophis,"Fine structure of a new species, Loma myrophis (Phylum Microsporidia), parasite of the Amazonian fish Myrophis platyrhynchus (Teleostei, Ophichthidae). A new species of a microsporidian, Loma myrophis n. sp., was found in the sub-epithelial gut tissue of the Amazonian teleost fish, Myrophis platyrhynchus (fam. Ophichthidae), forming small whitish xenomas. Each xenoma consisted externally of a thick wall formed by one layer of fibrous material surrounded by aggregate and concentric fibroblasts. Inside, there was a hypertrophic host cell with a hypertrophic branched nucleus surrounded by a hypertrophic cytoplasm containing intermingled life cycle stages, mainly mature spores. Among these cells several extruded polar filaments were observed. Sporonts were surrounded by numerous blisters with dense contents, which appeared to discharge their contents into the parasitophorous vacuole around the parasite. All spores were ellipsoidal and uninucleate, and measured about 3.45 x 1.71 m (n = 50). The polar filament was isofilar and consisted of a single coil with 13-14 turns, surrounding the posterior vacuole that occupied about half of the total volume of the spore. The xenoma, formation of the parasitophorous vacuole and the morphology of the spores were basically like those of the genus Loma. In this paper, we describe light and electron microscopical data of the xenoma, life cycle and the spores of a new microsporidian species, Loma myrophis.",Loma myrophis,Myrophis platyrhynchus,intestinal epithelium,NA,intestinal epithelium,NA,sub-epithelial gut tissue,NA
Loma pacificodae,"Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. ABSTRACT. Five new species of Loma were described from five Pacific fishes using light-microscopic and ultrastructural features along with phylogenetic analysis of the gene sequences of ribosomal RNA (rRNA) and elongation factor 1-alpha. Morphological data revealed both qualitative and quantitative differences in developmental stages and timing, vesicles, xenoma features, and spore sizes with statistical support that differentiated Loma pacificodae n. sp. in Pacific cod, Loma wallae n. sp. in walleye pollock, Loma kenti n. sp. in Pacific tomcod, Loma lingcodae n. sp. in lingcod, and Loma richardi n. sp. in sablefish from each other and other species in the genus. Phylogenetic analyses combined with monophyly tests supported species designations, but with low resolution in two cases perhaps due to rRNA paralogs or recent speciation. Loma branchialis in haddock was shown to be separate from Loma morhua in Atlantic cod, thereby making L. morhua, and not L. branchialis, the type species. A species from brook trout was shown to be a separate species from Loma salmonae, not a variant strain selected in the laboratory. By comparison with gadid host phylogeny, these Loma species appear to have coevolved with their hosts, first colonizing the Pacific basin about 12 million years ago.",Loma pacificodae,Pacific cod,Primarily gills; secondarily gonads; spleen; heart; liver; kidney,NA,Primarily gills; secondarily gonads; spleen; heart; liver; kidney,NA,NA,NA
Loma richardi,"Description of Five New Loma (Microsporidia) Species in Pacific Fishes with Redesignation of the Type Species Loma morhua Morrison & Sprague, 1981, Based on Morphological and Molecular Species-Boundaries Tests. ABSTRACT. Five new species of Loma were described from five Pacific fishes using light-microscopic and ultrastructural features along with phylogenetic analysis of the gene sequences of ribosomal RNA (rRNA) and elongation factor 1-alpha. Morphological data revealed both qualitative and quantitative differences in developmental stages and timing, vesicles, xenoma features, and spore sizes with statistical support that differentiated Loma pacificodae n. sp. in Pacific cod, Loma wallae n. sp. in walleye pollock, Loma kenti n. sp. in Pacific tomcod, Loma lingcodae n. sp. in lingcod, and Loma richardi n. sp. in sablefish from each other and other species in the genus. Phylogenetic analyses combined with monophyly tests supported species designations, but with low resolution in two cases perhaps due to rRNA paralogs or recent speciation. Loma branchialis in haddock was shown to be separate from Loma morhua in Atlantic cod, thereby making L. morhua, and not L. branchialis, the type species. A species from brook trout was shown to be a separate species from Loma salmonae, not a variant strain selected in the laboratory. By comparison with gadid host phylogeny, these Loma species appear to have coevolved with their hosts, first colonizing the Pacific basin about 12 million years ago.",Loma richardi,sablefish,Primarily gills; secondarily in spleen; heart; liver; gallbladder; kidney; and gonads.,NA,Primarily gills; secondarily in spleen; heart; liver; gallbladder; kidney; and gonads.,NA,NA,NA
Loma salmonae (1),"A New Species of Loma (Microsporea) in Shiner Perch (Cymatogaster aggregata). Loma embiotocia n. sp. is described from the gills of shiner perch (Cymatogaster aggregata) from waters off Vancouver Island, British Columbia, Canada. Highest prevalence at a site was 15% and greatest intensity was 583 xenomas per fish. Xenomas averaged 0.13 mm in diameter (0.06-0.16 mm) and contained ovoid spores 4.8 x 2.6 (4.0-5.0 x 2.0-3.0) µm. Sporogonic stages were dispersed throughout the xenomas. The xenoma wall was smooth lacking invaginations into the cytoplasm; sporoblasts were not highly vacuolated, and the sporophorous vesicle formed before sporogony. In addition to differences in host and geographic location the new species is distinguished from Loma salmonae, the only other species in the genus known from British Columbia, by its internal transcribed spacer (ITS) ribosomal DNA sequence.",Loma salmonae,NA,gills; spleen; heart,NA,spleen; heart,NA,NA,NA
Loma sp.,"Loma sp. in salmonids from the eastern united states: Associated lesions in rainbow trout. A microsporidian of the genus Loma was noted in the gills of rainbow trout Onco-rhynchus mykiss from a state hatchery (Buford Trout Hatchery) in Georgia. Mortalities of varying severity occur at this hatchery every fall, and the microsporidian was noted during an experiment from August 1991 to January 1992 to determine the effects of water source on disease. Infections first appeared to be systemic in the October sample; xenomas were observed in heart, spleen, and peripheral vessel walls. The presence of unidentified intracellular material preceded the appearance of xenomas in all tissues, but whether this material was associated with inflammation or represented immature stages of the parasite has yet to be determined. These structures were also noted in the intestine and liver, although xenomas were not noted in these organs. Mature xenomas did not elicit an inflammatory response but appeared to be short-lived. When the xenoma wall ruptured and released spores, an inflammatory response was again observed. The prevalence and severity of the infection were determined in fish maintained in troughs with well water, Chattahoochee River water, or hatchery (treated river) water. The infection tended to be more prevalent and more severe in fish maintained in the hatchery or river water than in those maintained in the well water. Stress induced by poor water quality may increase mortality from this parasite. This report extends the range of Loma sp. into the eastern United States.",Loma sp.,Onco-rhynchus mykiss,heart; spleen; peripheral vessel walls; intestines; liver; gills,NA,intestines,NA,intestine,NA
Loma trichiuri,"A new microsporidian, Loma trichiuri n. sp., from the gill of a marine fish, Trichiurus savala Cuv. (Trichiuridae).",Loma trichiuri,Trichiurus savala,gills,NA,gills,NA,gill,NA
Lotmaria passim,"Characterization of Two Species of Trypanosomatidae from the Honey Bee Apis mellifera: Crithidia mellificae Langridge and McGhee, and Lotmaria passim n. gen., n. sp.. Trypanosomatids are increasingly recognized as prevalent in European honey bees (Apis mellifera) and by default are attributed to one recognized species, Crithidia mellificae Langridge and McGhee, 1967. We provide reference genetic and ultrastructural data for type isolates of C. mellificae (ATCC 30254 and 30862) in comparison with two recent isolates from A. mellifera (BRL and SF). Phylogenetics unambiguously identify strains BRL/SF as a novel taxonomic unit distinct from C. mellificae strains 30254/30862 and assign all four strains as lineages of a novel clade within the subfamily Leishmaniinae. In vivo analyses show strains BRL/SF preferably colonize the hindgut, lining the lumen as adherent spheroids in a manner identical to previous descriptions from C. mellificae. Microscopy images show motile forms of C. mellificae are distinct from strains BRL/SF. We propose the binomial Lotmaria passim n. gen., n. sp. for this previously undescribed taxon. Analyses of new and previously accessioned genetic data show C. mellificae is still extant in bee populations, however, L. passim n. gen., n. sp. is currently the predominant trypanosomatid in A. mellifera globally. Our findings require that previous reports of C. mellificae be reconsidered and that subsequent trypanosomatid species designations from Hymenoptera provide genetic support.",Lotmaria passim,Apis mellifera,ileum,NA,ileum,NA,NA,NA
Merocinta davidii,"Ultrastructure and life cycle of Merocinta davidii gen et sp. nov, a dimorphic microsporidian parasite of Mansonia africana (Diptera: Culicidae) from Tanzania. Mansonia africana larvae were sampled at three sites in NE Tanzania, between June and September 1987. At each site between 2.5 and 5.7% were infected with a multisporous microsporidian parasite. The ovoid spores measured 2.5 × 1.5 •m. Meronts were diplokaryotic with electron-dense, thickened unit membranes. Repeated division of the diplokarya gave rise to multinucleate plasmodia, the plasma membrane of which was entirely surrounded by two other membranes interpreted as host endoplasmic reticulum. Both membranes were studded with ribosomes. Meronts became ribbon-like before division, the endoplasmic reticulum dividing with the parasite. At the onset of sporogony the two nuclei of the diplokaryon separated and the electron-dense coat was sloughed off. Nuclear division and cytoplasmic division gave rise to uninucleate sporoblasts and spores. Adult M. africana collected at one of the three sites were infected with two diplokaryotic microsporidia, designated Type A and Type B, which differed only in the size of the spores. Spores of Type A measured 3.4 ×1.8 •m and those of Type B measured 6.6 × 2.9 •m; both types were binucleate. Type A infected 10.8 and Type B 5.8% of the adults collected. Mixed infections were not observed. In transovarial transmission trials, larvae were not successfully reared from adults infected with Type B. However, 11.3% of progeny from females infected with Type A exhibited multisporous microsporidian infections indistinguishable from those found in larvae collected at that site, showing that the multisporous parasite in larvae and the Type A infection of adults represent different stages in the life cycle of a single species. The morphology and life cycle of this microsporidian exclude it from all other related genera and it is attributed here to a new genus and given the name Merocinta davidii.",Merocinta davidii,Mansonia africana,midgut; ovary,NA,midgut; ovary,NA,NA,NA
Microsporidium aedium,"Microsporidium aedium n. sp., from the mosquito Aedes cantans",Microsporidium aedium,Aedes cantans,gastric caeca,NA,gastric caeca,NA,NA,NA
Microsporidium aplysiae,"Spores of a New Microsporidan Species Parasitizing Molluscan Neurons. A new species of Microsporida was observed in neurons of the marine mollusc Aplysia californica and the ultrastructure of its spores was investigated. The spores were 1.3 mm long and had a thick 3‐layered coat. An anchoring disc and polar aperture were present. The polaroplast occupied most of the anterior half of the spore. The vesicular portion included lengths of loosely packed lamellar structures as well as the usual vesicular profiles embedded in fibrillar material; it was entirely surrounded by tightly packed, electron‐dense lamellae. The polar tube had 5 or 6 coils. In this stage of the life cycle (mature spores), the parasites did not appear to be disturbing the host cells. The organism was named Microsporidium aplysiae sp. n.",Microsporidium aplysiae,Aplysia californica,neurons,abdominal ganglia,NA,abdominal ganglia,NA,NA
Microsporidium aurata,"Morphological and phylogenetic description of a new xenoma-inducing microsporidian, Microsporidium aurata nov. sp., parasite of the gilthead seabream Sparus aurata from the Red Sea. A new species of Microsporidia found in the marine teleost Sparus aurata collected from Hurghada coasts along the Red Sea, Egypt was described based on light and ultrastructural studies. Twenty three (30.6 %) out of 75 of the examined fish were parasitized with a microsporidian parasite. Numerous macroscopic whitish cysts embedded in the peritoneal cavity were observed to infect many organs of the body including muscles, connective tissues, and the intestinal epithelium. The infection was developed as tumor-like masses of often up to 5 mm in diameter inducing an enormous hypertrophy to the infected organs. Fresh spores appeared mostly ovoid to pyriform in shape reaching a size of 1.7 ± 0.5 (1.5–2.5) μm × 1.3 ± 0.4 (1–2) μm; they possessed a large vacuole at the posterior end. These spores were located within a sporophorous vesicle which was bound by a thick amorphous wall. The ultrastructural features support the placement of the present species within the genus Microsporidium. The developmental stages were enclosed within a xenoma structure that was bounded by a double-layered cyst wall. The life cycle of the microsporidian pathogen described herein included four stages: proliferation (merogony), sporogony, sporoblast, spores, and liberation. Mature spores appeared electron dense, uninucleate, and were ellipsoidal in shape. At the anterior end of the spore, the anchoring disk was found in a central position. There was a definite number (5–11) of turns of the polar tube. A 538-bp region of the SSU rDNA gene of the studied species was sequenced (GenBank accession number: KF0220444). Multiple sequence alignment calculated a high degree of similarity (>92 %) with six microsporidian species. The most closely related sequence was provided by the GenBank entry AF151529 for Microsporidium prosopium isolated from Hyperoplus lanceolatus differing in 67 nucleotide positions in its SSU rDNA with the highest percentage of identity (97.2 %) and the lowest divergence value (0.20). Variations in the morphology of the spores and developmental stages between the two species revealed that the two species are different. The site of infection in the host and description of the onset of parasite development are strong criteria for the placement of the microsporidian parasite of the fish S. aurata within the genus Microsporidium as a new species, and we propose to name it Microsporidium aurata nov. sp.",Microsporidium aurata,Sparus aurata,general infection; muscles; connective tissues; and the intestinal epithelium,NA,general infection,NA,NA,NA
Microsporidium cerebralis,Microsporidian encephalitis of farmed Atlantic salmon (Salmo salar) in British Columbia,NA,Salmo salar,brain; motor neurons,NA,brain; motor neurons,NA,NA,NA
Microsporidium ceylonensis,"Some ultrastructural data on Microsporidium ceylonensis, a cause of corneal microsporidiosis. Sections of corneal tissue infected with Microsporidium ceylonensis were restained or processed for electron microscopy. Confirmation was obtained that the parasite develops in macrophages and that spores are uninucleate. New information is provided that sporoblasts and spores develop synchronously within a membrane in the host cell, spores have an anisofilar polar tube of 6-10 wide coils and 2-3 narrow coils and details are given of the spore wall and internal organisation. The parasite was compared on the one hand with Encephalitozoon, which exhibits asynchronous intravacuolar development of merogonic and sporogonic stages and has spores with isofilar polar tubes and on the other hand with species reported from mammals, of which the sporogonic stages develop synchronously within sporophorous vesicles and the spores have anisofilar polar tubes. Even so, a generic emplacement could not be established. Attention is drawn to the similarities between M. ceylonensis and Nosema sp. described from the cornea of a woman in Botswana.",Microsporidium ceylonensis,NA,eye cornea; macrophages,NA,eye cornea,NA,corneal tissue,NA
Microsporidium chloroscombri,"Preliminary Observations on a Microsporidian Parasite of Chloroscombrus Chrysurus Linnaeus, 1776 (Teleost Fish)",NA,Chloroscombrus chrysurus,liver,NA,liver,NA,NA,NA
Microsporidium epithelialis,"Electron microscopic study of a new microsporean Microsporidium epithelialis sp. n. infecting Tubifex sp. (Oligochaeta). The cytology of a new microsporean parasite Microsporidium epithelialis sp. n. from the intestinal epithelial cells of the freshwater oligochaete Tubifex sp. (Tubificidae) is described. The microsporean occurred together with an actinosporean of the genus Triactinomyxon, which was found between the epithelial cells. The merogonic and sporogonic stages (mature spores included) of the microsporean parasite are monokaryotic. An individual sporophorous vesicle surrounds each spore. The fixed and stained spore has an average dimension of 1.9-2.5 x 0.9-1.2 microm. The spores are oval with a characteristic surface layer, showing ornamentation-like projections, which are in close contact to the exospore. A short polar filament forming three to four coils traverses the polaroplast with two lamellar layers. The ultrastructure and other characteristic features of this microsporean parasite are distinct from those of the microsporean species described so far from oligochaetes.",Microsporidium epithelialis,Tubifex sp.,intestinal epithelium,NA,intestinal epithelium,NA,intestinal epithelial cells,NA
Microsporidium fimbriatum,"A New Microsporidian Parasite of the Mosquito Aedes Taeniorhynchus. A new species of microsporidium is described from the mosquito Aedes taeniorhynchus. This microsporidium is vertically transmitted and exhibits dimorphic development with one sequence leading to formation of short pyriform, uninucleate spores in male fourth instar larvae, pupae, and adults, and the other sequence leading to formation of diplocaryotic stages and cylindrical spores in adult females. Vertical transmission is apparently limited to a single generation, and the uninucleate spores are not transmissible per os to larvae.",NA,Aedes taeniorhynchus,fat body; egg,NA,fat body; egg,NA,NA,NA
